Default Dataset,
X,Y
-0.0005675904659021014,6.623211961662961e-7
0.03919573576432159,0.000002089592002385697
0.07569452810402272,0.0000020996285185572855
0.11583585299525431,0.0000020804738215190652
0.15233464533495542,0.000002090510337690654
0.19175315147002772,0.000002100570552837854
0.22897713246344928,0.0000020911324358004633
0.27204409589395506,0.0000020963521351789574
0.3048908760918809,0.00000209661874865459
0.3428447855341453,0.0000020871865563611016
0.3829920351692798,0.0000020923825567639842
0.4187573442137964,0.0000020878027297270077
0.45817585034886865,0.000002097862944874208
0.49758961668881874,0.0000020884426020685258
0.5296104875866742,0.0000016942219922543851
0.5476584424638247,8.713165373426737e-7
