Default Dataset,
X,Y
-0.00021840021840022206,3318.918918918919
0.03892983892983892,3302.702702702703
0.07807387807387806,3281.0810810810813
0.11724311724311723,3291.891891891892
0.15569205569205566,3275.675675675676
0.19556059556059555,3286.4864864864867
0.2319284319284319,3291.891891891892
0.2696822696822697,3281.0810810810813
0.3081606081606082,3302.702702702703
0.34730884730884737,3286.4864864864867
0.3836640836640838,3275.675675675676
0.42353682353682354,3291.891891891892
0.4626850626850627,3275.675675675676
0.5011424011424012,3270.2702702702704
0.531978831978832,3356.756756756757
0.5522753522753523,3378.378378378379
