Default Dataset,
X,Y
0.0005940770297631903,0.00001202783484510243
0.040228137446136264,0.000010817430709554951
0.07772841557208651,0.000010787949358827015
0.11451669126536182,0.000011230725871646765
0.1541418516513265,0.00001096372495939366
0.19093457735980596,0.000010934799860566223
0.23126284014803716,0.000011138944308059754
0.268062240879323,0.000010402466791761562
0.3105153859275686,0.000010369091677729924
0.34518545438363585,0.000010341835334604088
0.3833843848966484,0.000011255200955269948
0.4215988904628758,0.000010517610935170733
0.45909471857362183,0.000010959831196089931
0.49871987895958636,0.000010692830283836853
0.5298165852066661,0.000014441968093391008
0.5486067744064792,0.00012268191291320247
