Expe,,Lifting_Line,
X,Y,X,Y
0.19020172910662803,0.01298429319371728,0,0.012931937172774868
0.5706051873198845,0.013089005235602094,0.5014409221902016,0.013036649214659683
1.1412103746397695,0.01350785340314136,0.9855907780979827,0.013350785340314135
1.6426512968299707,0.013664921465968587,1.504322766570605,0.013769633507853402
2.1959654178674346,0.014554973821989524,2.005763688760807,0.014450261780104709
2.6628242074927955,0.015130890052356023,2.4899135446685876,0.01528795811518325
3.1296829971181555,0.01602094240837696,2.9913544668587897,0.016230366492146597
3.5965417867435154,0.01712041884816754,3.5100864553314124,0.017434554973821986
4.080691642651297,0.018167539267015705,3.994236311239193,0.018743455497382197
4.63400576368876,0.01958115183246073,4.4956772334293955,0.02026178010471204
5.152737752161382,0.021151832460732982,4.997118155619596,0.021989528795811515
5.619596541786745,0.022827225130890052,5.498559077809798,0.02382198952879581
6.138328530259365,0.02450261780104712,6,0.025916230366492148
6.6051873198847275,0.026492146596858637,6.484149855907781,0.028062827225130888
7.1239193083573475,0.028848167539267017,7.002881844380404,0.030471204188481676
7.60806916426513,0.031256544502617806,7.5043227665706045,0.0330890052356021
8.109510086455332,0.034031413612565446,7.988472622478387,0.035759162303664924
8.628242074927954,0.03664921465968586,8.507204610951009,0.03863874345549738
9.095100864553315,0.039633507853403145,8.99135446685879,0.04167539267015707
9.596541786743517,0.04287958115183246,9.492795389048991,0.044921465968586385
10.097982708933719,0.04581151832460733,9.994236311239193,0.048219895287958114
