h_c_05,,h_c_2,,h_c_inf,
X,Y,X,Y,X,Y
-5.99356758337203,0.06579227078066152,-5.8871678447964495,0.07733126945634039,-4.631408768037424,0.09585057530571178
-3.977648212166555,0.07224133601637345,-1.9835233820064317,0.10636946837968458,-2.566376003990161,0.11325896496568805
-1.8507885730010472,0.08446292760951457,-0.03351736236520253,0.12319515676865661,0.46843816108560254,0.14571164198613767
0.10557418777841043,0.0932155547529368,1.9751371618251596,0.1388705777135683,3.5014361144075856,0.18047090793388715
2.0578504721118627,0.10715800698278388,3.9815214213232935,0.1574292348176049,5.786533202621126,0.21173093923602154
4.011942968199097,0.11879387028533106,6.042013655986107,0.180604096795831,8.749531327932857,0.262056653423456
6.022413704143233,0.13216270230294275,7.925652271124644,0.20838305556988806,10.630899678379173,0.292718848356638
8.035154704779597,0.1426482981614296,10.042976798582806,0.2327142390313538,13.8785133206061,0.34824952272844545
10.049257864231297,0.15140395232444154,11.984355812393584,0.26049622482500046,14.84602445694237,0.3661770462480437
10.968563713602673,0.15721885695612542,13.986199542507268,0.28482135424728694,16.045859346782937,0.3823867361505255
12.002896307380084,0.1636164628588137,15.071461740880249,0.2998716956469395,,
13.094061193952847,0.17117039024474145,,,,
