h_c_05,,h_c_2,,h_c_inf,
X,Y,X,Y,X,Y
-6.0515598586138015,0.02844731314994109,-6.043107422775474,0.02371394908047747,-6.229342759079966,0.021339070744326616
-4.038189641924084,0.02095999180369862,-4.079888325393167,0.017644587879719287,-4.076507351057836,0.01575124225193386
-1.9788945238461153,0.014421392346703532,-1.976358793094617,0.013001383125864463,-1.976358793094617,0.013001383125864463
-0.06667178935505547,0.010243327698376103,-0.018211157215306528,0.009772040366784529,-0.018211157215306528,0.009772040366784529
2.0292505506890013,0.009860150607038598,2.0309410378566657,0.00891347779314583,2.027560063521335,0.01080682342093131
3.9772552635623164,0.012310844731314996,3.9781005071461486,0.01183750832436864,4.021489677782901,0.014206239434455203
6.067260898519541,0.01524102248860204,7.957507299830949,0.023369704420880044,6.055427488345883,0.021867732185851085
8.007658419138364,0.021951744275395646,9.983837918139438,0.035291224834793244,8.226294759489777,0.03284872701193586
9.991445110393935,0.03103119717227598,12.008478049280262,0.04815941806259921,10.204164745658522,0.04524153475744069
12.021156703037752,0.041059371958403756,14.033118180421082,0.06102761129040518,12.414194969520002,0.06095794272834382
14.04495159059474,0.05440090159315608,15.019517442753953,0.0686440243839967,14.432073151990162,0.07761282721172069
14.96514010552738,0.07242866656421287,16.036627221966086,0.08572921469187028,15.4176271707392,0.08570257671225856
15.962809282311357,0.10040059423185282,,,16.350494339429332,0.0966302955791199
