A_C_005_A,,A_C_01_A,,A_C_03_A,,A_C_05_A,
X,Y,X,Y,X,Y,X,Y
0.032247277984256986,233.5064770599384,0.03227289025993614,242.0315230197442,0.034390171716079374,246.76865569702386,0.03123417019072605,246.29354798317559
0.09432005099688666,244.4289743137333,0.0932841767360854,249.63822660603196,0.09645298439927828,254.37585729978315,0.09539292076700227,251.53367729670967
0.15742016084509125,247.30053728862757,0.15849160771100246,253.93162660717027,0.15638855529690315,253.9306305742272,0.1605761623704446,247.7756450024758
0.23840190782995724,252.07502120127265,0.23632304478733268,260.1254574637017,0.2373489587187032,251.60090952036745,0.23841044525518362,254.91670318787456
0.31625611137355786,265.8466706887425,0.3141516360552542,265.3720609913658,0.31622907619367435,256.8480110645031,0.3141359841090058,260.1623106825956
0.39302179320079456,267.30386688446583,0.39617210310933015,265.8845199405795,0.3940505529405738,259.7265462699989,0.3950978104350102,258.30620329316946
0.4729505910744065,271.6042391162057,0.47190048777156124,272.07735476416786,0.47293920784077137,267.8153298007365,0.4718734525916777,263.0786951399284
0.5518250169325599,274.9568860026068,0.5497333477520958,278.7447992851329,0.5518207482199468,273.5360450093058,0.5528537766723391,267.3795653881398
0.6296393791584375,275.4673528859343,0.6306923282696915,275.9414645668395,0.6306780992276475,271.20532792250293,0.6285622406757086,266.94180890965697
0.707475084947381,283.0820247357667,0.7085308798670437,284.5033637455392,0.7085166508249997,279.76722710120265,0.7074494726717019,274.5569787759609
0.7874309180008765,296.381056591746,0.7874323409050809,296.8546702561797,0.7863708543686003,293.53887658867257,0.7852951387900761,285.48694627682886
0.8663209958052783,304.94345378691725,0.866319572901074,304.4698401224836,0.8652552405561847,300.20681912610917,0.8641880624028867,294.9965708008674
0.9462483707746859,308.7702123542235,0.9451939987592274,307.8224870088846,0.9441367809353604,305.92753433467846,0.9430696027820623,300.7172860094367
