h_c_05,,h_c_2,,h_c_inf,
X,Y,X,Y,X,Y
-5.923108552631578,-0.5284076891447369,-6.028394554093566,-0.4334549753289474,-6.079278600146198,-0.402600740131579
-3.9410179093567255,-0.3591642680921052,-3.995168585526315,-0.2974403782894739,-3.9981839364035077,-0.2689453125000001
-1.8649488304093556,-0.17801706414473717,-2.0105651498538,-0.15194284539473712,-2.012575383771929,-0.13294613486842133
0.02240953947368496,-0.01355365953947385,0.06902183845029342,-0.0040398848684213284,0.0680167214912295,0.005458470394736681
2.0964683845029235,0.18659025493421022,2.005505299707604,0.1461914062499996,2.100488852339181,0.14859683388157863
4.0301877741228065,0.3629420230263155,3.989354897660819,0.29881270559210493,4.179322002923977,0.3036235608552629
6.201491684941518,0.5441200657894734,6.068690606725147,0.4490902549342102,6.259662828947368,0.4444027549342102
8.231953581871343,0.7062551398026312,8.146769919590641,0.6112407483552629,8.337742141812866,0.6065532483552628
10.167934484649122,0.8612356085526311,10.129614400584794,0.773360402960526,10.512312682748542,0.7568616365131575
12.202668128654969,0.983002672697368,12.21096034356725,0.9046412417763154,12.592402229532167,0.9000154194078944
14.239914565058482,1.08102384868421,14.244186312134504,1.040655838815789,14.626382035818713,1.0289062499999995
15.190755208333334,1.0955797697368417,15.239880299707602,1.0813476562499995,15.57395604897661,1.0743318256578944
16.240599872076025,1.0745476973684207,16.18845942982456,1.1172748766447365,16.616262335526315,1.1245374177631575
