         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1908      0.1211       0.007       0.069       0.137
         1.1        0.04      0.0623      0.1900      0.1229       0.007       0.070       0.136
         2.3        0.08      0.1221      0.1891      0.1247       0.007       0.071       0.136
         3.4        0.12      0.1795      0.1880      0.1266       0.007       0.072       0.135
         4.6        0.16      0.2344      0.1867      0.1283       0.007       0.073       0.134
         5.7        0.20      0.2868      0.1852      0.1301       0.007       0.074       0.133
         6.9        0.24      0.3386      0.1830      0.1306       0.007       0.075       0.131
         8.0        0.28      0.3859      0.1809      0.1322       0.007       0.075       0.130
         9.2        0.32      0.4306      0.1784      0.1335       0.007       0.076       0.128
        10.3        0.36      0.4728      0.1754      0.1345       0.007       0.077       0.126
        11.4        0.40      0.5123      0.1718      0.1351       0.007       0.077       0.123
        12.6        0.44      0.5493      0.1676      0.1352       0.007       0.077       0.120
        13.7        0.48      0.5838      0.1627      0.1347       0.007       0.077       0.117
        14.9        0.52      0.6156      0.1569      0.1335       0.007       0.076       0.112
        16.0        0.56      0.6448      0.1503      0.1315       0.007       0.075       0.108
        17.2        0.60      0.6714      0.1428      0.1285       0.007       0.073       0.102
        18.3        0.64      0.6956      0.1343      0.1245       0.007       0.071       0.096
        19.5        0.68      0.7170      0.1256      0.1200       0.007       0.068       0.090
        20.6        0.73      0.7359      0.1167      0.1150       0.006       0.066       0.084
        21.7        0.77      0.7525      0.1076      0.1094       0.006       0.062       0.077
        22.9        0.81      0.7670      0.0982      0.1031       0.006       0.059       0.070
        24.0        0.85      0.7793      0.0885      0.0961       0.005       0.055       0.063
        25.2        0.89      0.7895      0.0786      0.0882       0.005       0.050       0.056
        26.3        0.93      0.7972      0.0683      0.0793       0.004       0.045       0.049
        27.5        0.97      0.8012      0.0576      0.0695       0.004       0.040       0.041
        28.6        1.01      0.7993      0.0466      0.0587       0.003       0.034       0.033
        29.8        1.05      0.7855      0.0353      0.0471       0.003       0.027       0.025
        30.9        1.09      0.7446      0.0238      0.0347       0.002       0.020       0.017
        32.0        1.13      0.6213      0.0120      0.0218       0.001       0.012       0.009
        33.2        1.17     -0.0083     -0.0001      0.0086       0.000       0.005       0.000
