         PROP RPM =       8000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1906      0.1199       0.015       0.122       0.243
         1.5        0.04      0.0624      0.1898      0.1218       0.016       0.124       0.242
         3.0        0.08      0.1223      0.1889      0.1237       0.016       0.125       0.241
         4.6        0.12      0.1796      0.1878      0.1256       0.016       0.127       0.239
         6.1        0.16      0.2344      0.1866      0.1275       0.016       0.129       0.238
         7.6        0.20      0.2867      0.1851      0.1293       0.017       0.131       0.236
         9.1        0.24      0.3364      0.1833      0.1309       0.017       0.133       0.234
        10.6        0.28      0.3835      0.1812      0.1325       0.017       0.134       0.231
        12.1        0.32      0.4281      0.1788      0.1338       0.017       0.136       0.228
        13.7        0.36      0.4702      0.1758      0.1348       0.017       0.137       0.224
        15.2        0.40      0.5097      0.1723      0.1354       0.017       0.137       0.220
        16.7        0.44      0.5467      0.1682      0.1355       0.017       0.137       0.214
        18.2        0.48      0.5812      0.1633      0.1350       0.017       0.137       0.208
        19.7        0.52      0.6131      0.1576      0.1338       0.017       0.136       0.201
        21.2        0.56      0.6424      0.1511      0.1318       0.017       0.134       0.193
        22.8        0.60      0.6693      0.1435      0.1288       0.017       0.131       0.183
        24.3        0.64      0.6936      0.1350      0.1247       0.016       0.126       0.172
        25.8        0.68      0.7151      0.1263      0.1202       0.015       0.122       0.161
        27.3        0.72      0.7342      0.1174      0.1152       0.015       0.117       0.150
        28.8        0.76      0.7509      0.1082      0.1096       0.014       0.111       0.138
        30.3        0.80      0.7654      0.0988      0.1034       0.013       0.105       0.126
        31.9        0.84      0.7778      0.0891      0.0964       0.012       0.098       0.114
        33.4        0.88      0.7881      0.0792      0.0885       0.011       0.090       0.101
        34.9        0.92      0.7958      0.0688      0.0796       0.010       0.081       0.088
        36.4        0.96      0.7998      0.0580      0.0697       0.009       0.071       0.074
        37.9        1.00      0.7979      0.0469      0.0589       0.008       0.060       0.060
        39.4        1.04      0.7835      0.0355      0.0472       0.006       0.048       0.045
        41.0        1.08      0.7411      0.0239      0.0348       0.004       0.035       0.030
        42.5        1.12      0.6152      0.0120      0.0219       0.003       0.022       0.015
        44.0        1.16     -0.0024      0.0000      0.0088       0.001       0.009       0.000
