Exp,,Num,,Geometry,
X,Y,X,Y,X,Y
0.0020418825582008415,-0.0002942995048674235,-0.0002540370318888374,0.0006245476463229149,0.0025305629294723464,0.007209515428120178
0.0072664177423297505,0.04959809424294567,0.013257857173670257,0.09855726138493322,0.00854497101920848,0.01837349319277859
0.02083103661488464,0.12684164865240546,0.025334202491480162,0.15979935867632328,0.014561514802852643,0.02869942466793851
0.03291936481155723,0.1833816642780795,0.032171633170525946,0.17679156021875947,0.021647111264922164,0.037979269630822904
0.04591599522602105,0.18350388964247885,0.049793654825984635,0.1619102626167732,0.029448151117041216,0.045485918006162945
0.06432169715909908,0.16110645110266453,0.07362280773231206,0.11135066217388595,0.03725516753551153,0.05064736174527806
0.08198925375423594,0.12835724317095734,0.10126011954119954,0.06646950836644602,0.04506350420112497,0.05529074050543045
0.10273161706553674,0.08905387981651817,0.1250317546289861,0.03847989991899575,0.0528729483886385,0.05949952767197736
0.1249718402346727,0.06199030824757587,0.15031083587769795,0.018968417924469516,0.06068492839611239,0.0627132590860921
0.1502629043622472,0.03777674458733363,0.17556834794445694,0.007920682928232142,0.06849812397640348,0.06544999972673732
0.1747702882122024,0.021079321864919426,0.20083065316276105,-0.0050078847342916455,0.07631233253404218,0.06778924805615799
0.20004217973359661,0.00438908886982281,0.24981905852917347,-0.028058150514544855,0.08412755406902861,0.06973100407435406
0.22683110371900628,-0.007584683004922571,0.3003125134807387,-0.04168987350873071,0.09194297819948455,0.0715932616303053
0.2505619970186597,-0.01958721378893838,0.2758338885400539,-0.03627744678403497,0.09976022568916629,0.07274003302605223
0.2750454151108895,-0.02688047317992054,0.2245663396139595,-0.018891248184593895,0.1075778783697871,0.07372780749730937
0.30104346909136215,-0.028516855117408257,0.3240242341742119,-0.04616907362760092,0.1153955816992753,0.07469570735300529
0.32551969745627446,-0.03298886550896085,0.3507915889776687,-0.049679098504057384,0.12321287983782442,0.07582260413319103
0.3500055121242768,-0.04122254123308616,0.3768016258370041,-0.056017562107261165,0.1310315454957929,0.07641288629322363
0.3752342652817653,-0.04098528023160508,0.4005085533789321,-0.058615929559844904,0.13885112283337428,0.07664542537315402
0.3989363996721484,-0.04170281501790246,0.42269125872952723,-0.06310950913335034,0.146671409255099,0.07659971983522731
0.4234054383097429,-0.04335357641002535,0.4509852323000896,-0.06566473822202834,0.1544897710198632,0.07730924968862726
0.449386716259808,-0.038407044015510705,0.4777477939520014,-0.0672939304321985,0.16230914576197505,0.07762128723080261
0.4730337294074226,-0.017495003139514298,0.49222550819389255,-0.048348998950299815,0.17012892569502594,0.07777432784848817
0.49974835954388364,-0.000315868686820292,0.49898385187244454,-0.0003230584141379056,0.17794981990315928,0.07749012692382667
,,,,0.18576939724074065,0.07772266600375716
,,,,0.1935905953420783,0.07731921738572828
,,,,0.201412198634355,0.07675677184320961
,,,,0.20923197856740594,0.07690981246089518
,,,,0.21705297407327406,0.07658586230511122
,,,,0.2248747799610203,0.07594391830034763
,,,,0.2326971936351751,0.07506347890884929
,,,,0.2405185943319823,0.07458053182857555
,,,,0.24834019762425902,0.07401808628605688
,,,,0.2561624087029443,0.07321714535680343
,,,,0.2639842145906906,0.07257520135203985
,,,,0.2718064256693759,0.0717742604227864
,,,,0.2796290419390003,0.07081432256904319
,,,,0.28745094912448127,0.07013262933315711
,,,,0.29527386928731,0.06905344378604653
,,,,0.30309648555693436,0.06809350593230329
,,,,0.31091970961296733,0.06689507269182526
,,,,0.3187429336690003,0.0656966394513473
,,,,0.326565853831829,0.06461745390423668
,,,,0.33438907788786193,0.06341902066375868
,,,,0.34221250453936447,0.06214108896103576
,,,,0.35003512080898885,0.061181151107292525
,,,,0.3578590539491652,0.05970447324895736
,,,,0.36568278449387204,0.058307293852867065
,,,,0.3735070215272527,0.05671136830116452
,,,,0.3813306507742247,0.055353938136196684
,,,,0.389155900784953,0.05336052027326957
,,,,0.39698064430700747,0.05156584856595475
,,,,0.40480478004265336,0.050009672245374615
,,,,0.41262797033277476,0.04882448874860415
,,,,0.42045197100477427,0.04732131140285395
,,,,0.42828053007483835,0.04402941865659327
,,,,0.43610608397877093,0.04191675310029874
,,,,0.4439321443713774,0.039605341388391974
,,,,0.45175850865718814,0.037174681983117824
,,,,0.4595852781339379,0.03458502565335386
,,,,0.46741306058803533,0.03159787701236533
,,,,0.4752438819741759,0.027418251437703045
,,,,0.48307794488782885,0.02196665046712218
,,,,0.4909176804746288,0.014289092553683769
,,,,0.49769690339505634,0.0043065204229554566
