Exp,,Num,,Geometry,
X,Y,X,Y,X,Y
0.001031473948286378,0.001682641852655098,0.001031473948286378,0.001682641852655098,0.005419622603350965,0.007056416708650093
0.010322735404943495,0.10097950045476806,0.01700732626360557,0.17663541593787163,0.0129760755449487,0.013921422060295036
0.015560064367172749,0.15062618064786956,0.02068944838132554,0.18963128804309798,0.02126892462478218,0.019575281992262272
0.022996271901330342,0.18371230672357095,0.02542303425253123,0.18961729517945844,0.029548667570182055,0.023937095504647482
0.050106445712686534,0.17299027495977048,0.04893504312800473,0.17417617015322182,0.037819098262168546,0.027380876034698104
0.10058470180208098,0.13263835443923597,0.07478985717284187,0.1563632547400825,0.0460822860903891,0.030110630911821812
0.12165795444323396,0.11010984397957038,0.10057270791896136,0.13145595746169453,0.054343059630687654,0.03260237723796994
0.14977161647559747,0.08164835933673822,0.1240007596125976,0.10773805359266772,0.06260176378133879,0.03489011623471036
0.17327163146795138,0.06502483733296019,0.15094301906027927,0.08046246414328692,0.07085667405096967,0.036803841794203346
0.19911445162966887,0.04602952494227938,0.17083287523363092,0.0579374518995312,0.07911158432060053,0.038717567353696386
0.2262126315579055,0.03412509620093751,0.20017790926627427,0.03420205695095499,0.08736373540403489,0.04035928314064577
0.24979660373209667,0.025778353039949603,0.22250652167394636,0.01876443014062823,0.09561450689437093,0.041864994041323406
0.2745999540234481,0.020975302595676176,0.25078809806998437,0.0068565031833764944,0.10386217430023587,0.043064693947889504
0.29702451749607706,0.014996851605681066,0.277946247413819,0.000864059329741762,0.11210984170610078,0.044264393854455575
0.32303525202146915,0.012555096900580681,0.29805199348332356,-0.00037780731826769776,0.12035612951886743,0.04532808887474993
0.3490219987806219,0.007748548240397335,0.32409870965807447,0.000727628909256206,0.12860103773853582,0.04625577900877245
0.3738493368382126,0.0053102917512068415,0.3501214380665861,-0.0005317288183027125,0.1368424969754585,0.04684345692711547
0.402178888766729,-0.0018680472958791383,0.3690677754345285,0.0005946967046805418,0.1450870602968523,0.04773714583957006
0.42459145835623835,-0.009028895263415715,0.39865268712956403,0.0005072413069334147,0.1533295542285987,0.04842682742261692
0.4493468331151114,-0.018561533617854897,0.42577485482403976,-0.009032393479325607,0.16156894407587394,0.048810498011552295
0.47413818952334325,-0.02454698103966979,0.4505302295829127,-0.01856503183376479,0.16981143800762036,0.04950017959459918
0.49889356428221615,-0.03407961939410903,0.47643301916022834,-0.03164835933673832,0.17804841356697362,0.04964584163255892
0.5248443293920102,-0.04243335898691669,0.5011644061528622,-0.043545791646260434,0.1862881483125235,0.0500635134430622
0.5496116980340027,-0.05078360036381446,0.5259197809117351,-0.05307843000069967,0.19452408917705305,0.05010717181631813
0.5767578534947178,-0.057958441194990606,0.5506751556706082,-0.06261106835513891,0.20126542158060068,0.050422408839274346
0.6015731976691889,-0.061579094661722567,0.5778333050144429,-0.06860351220877353,0.5059749338411774,0.05003655389460007
0.6240697244405353,-0.06046316378646893,0.6002458746039521,-0.07576436017631011,0.5142063910281376,0.049638196387472605
0.650128434498406,-0.058175330581403506,0.6262326213631049,-0.08057090883649343,0.5224395727064708,0.0494098449881849
0.6738563332700325,-0.05233331001189395,0.6498525751866551,-0.08537046106485696,0.5306699951986071,0.04890948381635363
0.6999750127435009,-0.044133491919121304,0.675863309712047,-0.08781221576995735,0.5389009925212012,0.04846579134713558
0.7261056861000892,-0.03475127684880713,0.6971644461324726,-0.08787518365633529,0.5471249769122124,0.04733074070603596
0.7498695665210744,-0.025362065346673235,0.7255659613597067,-0.08795914083817258,0.5553505708285049,0.04635436243225344
0.7724380565911386,-0.01715175260617091,0.7504652627160149,-0.08330301546211438,0.5635761647447972,0.04537798415847091
0.7985447421814875,-0.01013433149093973,0.7742411370201199,-0.07273140698243902,0.571804862745561,0.0447076168787999
0.821113232251552,-0.0019240187504373507,0.8006116880391001,-0.039701252361295736,0.5800311464584027,0.04379924104815325
,,0.821113232251552,-0.0019240187504373507,0.588258464866068,0.04299286888221043
,,,,0.596486817968557,0.04228850038097151
,,,,0.6047124118848495,0.04131212210718893
,,,,0.6129386955976912,0.04040374627654228
,,,,0.6211639446157091,0.03939336678119182
,,,,0.6293881589389032,0.038280983621137465
,,,,0.6376137528551957,0.03730460534735497
,,,,0.6458376222801154,0.03615822096573268
,,,,0.6540625263998587,0.035113840248814226
,,,,0.6622863958247784,0.033967455867191965
,,,,0.6705057815721287,0.03237905560518636
,,,,0.6787286163022246,0.031130667558860237
,,,,0.6869514510323207,0.029882279512534138
,,,,0.6951732510675928,0.028531887801504202
,,,,0.7033943613063158,0.02711349364733831
,,,,0.7116085735795477,0.025015075061813524
,,,,0.7198289940217217,0.023528678464511732
,,,,0.7280470001759736,0.021804273316234357
,,,,0.736262247144029,0.019807858395413436
,,,,0.7444785288069082,0.017913447139296296
,,,,0.7526951553680619,0.016053037104747092
,,,,0.7609110921326665,0.014124624627062071
,,,,0.7691266839989963,0.012162210927809003
,,,,0.7773426207636009,0.010233798450123982
,,,,0.7855578677316564,0.008237383529302977
,,,,0.7937727698014372,0.006206967386914064
,,,,0.8019859473798452,0.004006545136685413
,,,,0.8102018841444498,0.0020781326590003646
,,,,0.8184112678418376,-0.0004963030284756975
