Exp,
X,Y
1.0233174373325298,14.766269337421285
2.053785951785434,14.700737614071151
3.0540364942736176,14.60152278875022
4.039135585950937,14.502282484532188
5.0544526495929745,14.436725282284954
6.070279291177083,14.169375214978196
7.008480226252606,14.641804925070815
7.993409458615903,14.609828909205952
8.992386056248911,15.015096246533812
9.977739936897265,14.814959509786025
10.990424181171946,15.79199877701294
12.01885438385657,16.53363851390087
13.002509671364692,17.00614466068479
13.986589607157871,17.310490086585787
14.95144146860363,19.229152954065796
16.997481835669603,18.997167595938667
18.02370386727193,20.61324308141782
