Baseline,,Extension,,Louvered,
X,Y,X,Y,X,Y
0.011056093622944557,0.06903438449803523,0.016140654695090368,0.008237586500223992,0.015855347488945074,0.098323776225415
0.012609172480215963,0.21776438663051612,0.01668724940419419,0.10669669324847164,0.015360307264729933,0.18841172348986368
0.015635655081749005,0.3601971256031291,0.016393154501761053,0.20725781694877132,0.015913932130864027,0.27849088305802483
0.02390897821354336,0.49839595250425917,0.01714948222893472,0.30571516615776173,0.01792690042719921,0.3790326738264913
0.03468503724811533,0.6533335832944723,0.019553795933288494,0.43977323056806017,0.01931594228709755,0.4732947768276652
0.03965535826851919,0.7287109269730722,0.022188933126802937,0.5486896958988408,0.024473148315222862,0.5759051913022899
0.047556668924128194,0.8103486254871314,0.0267345154932944,0.630355515041021,0.028384259009732078,0.663861243447308
0.061964975757675164,0.8856468798991408,0.030827238577752367,0.7518295983671289,0.033939840602906265,0.791607984383678
0.06612448533392075,0.9275114650144236,0.03701729184290879,0.8732861063006611,0.03994300886034123,0.8858314215211855
0.07743425045637435,0.9462714390497103,0.06613678810872373,0.9128465574492717,0.047826744123374565,0.9884189879854617
0.08811305898536086,0.9671316724977914,0.08075482796034053,0.9881430543220234,0.05341571896244254,1.0763609798164193
0.10172812976732522,0.9879673003962667,0.09160821872224552,1.050901266131281,0.06093974452409351,1.1077225103284725
0.11703688254716649,0.9899339868254858,0.1024950027300443,1.0738547288351266,0.08951088854154705,1.050918841523857
0.1356996060768677,0.9939675394216057,0.1139863802424467,1.1261327340515028,0.10459233291074277,1.0738371534425508
0.15436935976359922,0.9896211448376386,0.1305306831203586,1.1553237035804589,0.11758699233478545,1.0842031199836901
0.17074259548710785,0.9727241624153745,0.1472812039378253,1.188702889160201,0.13707458762270552,1.1049895367829534
0.1911042736324587,0.9516038131571732,0.1680395001089674,1.1948138531587669,0.15196035928789195,1.111149711880731
,,0.18961915295981324,1.2218676549505196,0.17209297148333966,1.1130759749070263
,,0.2097570377730337,1.2175089575917495,0.1903379865161588,1.1150180557866394
,,0.2317790046703676,1.2173244159697048,0.2113218335586889,1.1022723810907524
,,,,0.23188269948656418,1.0937201950634239
