60_45_30,
X,Y
0.011103082821685373,0.01069766111471071
0.10319226067372139,0.011386629291593953
0.2064554079649199,0.012072739618530502
0.2985483166915599,0.013093259428852808
0.4185276476462534,0.013796463379600332
0.5106074983117792,0.01615655247288586
0.6068677939711553,0.019520246834663774
0.7059131875224628,0.023887235558717107
0.8175111086791335,0.029259694988564844
0.9277118172965834,0.034966067695476055
1.0420929709078837,0.041676045670879625
1.0825151318055815,0.04937221816662332
1.1271363920701503,0.054729754098054806
1.1759418282031735,0.060422446931417795
1.2023899982713613,0.07179197638107646
1.2302129956311458,0.0868382827530372
1.2412955586425087,0.10121240988383298
1.1349395163045437,0.15666999543589671
1.154369911242493,0.17539090238664046
1.136118472679427,0.1954403116026469
1.1262335204159677,0.21649425880579676
1.0870612025106299,0.23486788351214583
