h_c_05,,h_c_2,,h_c_inf,
X,Y,X,Y,X,Y
-6.00424905241303,0.7546620589280104,-5.941499653384931,0.7228700417662535,-5.941499653384931,0.7228700417662535
-3.9505909700738435,0.9139332360741785,-4.006966790482402,0.9052530290018515,-4.628921837439258,0.8213342438445641
-1.9537639637588953,1.0674150793075972,-1.952853452527533,1.0616333329884422,-2.5761742663314333,0.9863871673098874
-0.013768033468187113,1.215107588628266,0.04488406501877762,1.2093334299027059,0.04488406501877762,1.2093334299027059
2.044442605027813,1.3454700341786596,1.988977295850617,1.3310080807871778,1.9871562733878925,1.3425715734254875
3.876694706273902,1.4440025245993229,3.9839832797028407,1.4960534166589061,3.5293346715089307,1.4497387453569095
6.05494107543792,1.5454714137411314,5.983541819711874,1.63219002093486,5.642555363566441,1.5974540174583627
8.00722890735203,1.6151103477532094,8.096307256153707,1.7827961661958904,8.781466957754347,1.8320320610318432
10.076365680624388,1.6760918374737446,10.037213697675782,1.9247069291974044,10.779659730916336,1.9768412847865293
10.938847444532964,1.6993326366542845,11.979030650429216,2.060835945879764,13.808551217981218,2.1767136752578913
12.088671377872508,1.7312839932815303,14.04224910069771,2.1593987866748057,14.951091061469853,2.254919002438376
13.06936784998637,1.7371947286917948,15.017027249807722,2.2028908731595767,15.925413954964178,2.3013019620827246
