Default Dataset,
X,Y
-0.2426528184745642,0.0017929153732338943
0.8557570834399293,0.042876471348431644
2.085573598411223,0.09254006894205336
3.051627417521413,0.1336521090096766
3.754298328669506,0.16276918126696183
4.852518336634503,0.20557444238432954
5.6424771665712825,0.24328105095751384
6.916222481861176,0.2946568589958302
7.883605558617894,0.3237169630682642
9.025564472951984,0.3699561397724965
10.167333493336574,0.4179170216188986
11.00141101754146,0.4556141354946077
11.968414306399168,0.48811764985138156
