q10,,q20,,q30,,q35,
X,Y,X,Y,X,Y,X,Y
-0.10258314774118377,0.054675299774339596,-0.08116694444034751,0.053005707880414726,-0.0388094570876536,0.03584607896638691,-0.026582498783203817,0.03091281839500891
-0.04976268786596069,0.02696361410598662,-0.06283919116237224,0.040963407619356636,-0.028339994985324718,0.027669208418754872,-0.016547838527455366,0.023598471998938046
0.058934234008347935,-0.029962979897051684,-0.03708440878453123,0.027213757909175365,-0.01743750092181534,0.0179820356631908,-0.007825843276647843,0.0158487337944868
0.11219008569195141,-0.05832126369817557,-0.015702423268093374,0.013020456925414065,0.017459919470214275,-0.009562100853969704,0.014402147460951892,-0.00870665624400821
,,0.027062727688382138,-0.014934293004527976,0.030548222002625303,-0.01924337399153407,0.02399728617572011,-0.01688588663884015
,,0.05150543502308225,-0.028903408504299344,0.04363711449683627,-0.028708721110308116,0.033594194775888264,-0.024417338977301223
,,0.07855931328446478,-0.047183964838276735,0.05629002522086696,-0.03774339611510155,0.0462488753853188,-0.032804235925723804
,,0.0955803011754989,-0.0575023967198124,,,,
