Expe,,Lifting_Line,
X,Y,X,Y
0.01739130434782643,0.007358738501970996,-0.017391304347825987,0.001051248357424428
0.2956521739130431,0.025229960578186605,0.48695652173913073,0.03994743758212882
0.5391304347826082,0.04520367936925096,0.991304347826087,0.0788436268068331
1.0956521739130434,0.08725361366622864,1.4782608695652173,0.11773981603153738
1.5826086956521737,0.12404730617608406,1.965217391304348,0.1576872536136662
2.139130434782609,0.16925098554533513,2.4869565217391303,0.1965834428383706
2.608695652173913,0.2039421813403416,2.9739130434782606,0.23547963206307498
3.0782608695652174,0.24599211563731926,3.4782608695652177,0.2733245729303547
3.5826086956521745,0.28383705650459923,3.982608695652174,0.3122207621550591
4.052173913043479,0.31957950065703034,4.48695652173913,0.3500657030223391
4.591304347826087,0.36373193166885676,4.9739130434782615,0.3889618922470434
5.11304347826087,0.40683311432325886,5.478260869565218,0.4278580814717477
5.565217391304349,0.440473061760841,5.965217391304348,0.46570302233902766
6.104347826086956,0.48147174770039425,6.469565217391306,0.502496714848883
6.556521739130435,0.5193166885676741,6.9913043478260875,0.540341655716163
7.0434782608695645,0.5550591327201051,7.495652173913044,0.578186596583443
7.547826086956521,0.5929040735873851,7.982608695652175,0.6160315374507228
8.052173913043477,0.6265440210249672,8.486956521739131,0.6517739816031538
8.556521739130435,0.6654402102496716,8.991304347826087,0.6885676741130092
9.043478260869566,0.7001314060446782,9.495652173913046,0.7253613666228648
9.51304347826087,0.737976346911958,9.982608695652175,0.7621550591327202
10.017391304347827,0.7768725361366624,,
