Expe,,Lifting_Line,
X,Y,X,Y
0.17492711370262404,0.012913907284768211,-0.017492711370262093,0.012913907284768211
0.5772594752186588,0.013125827814569536,0.48979591836734704,0.012966887417218548
1.1370262390670556,0.01344370860927152,0.9795918367346941,0.013337748344370862
1.6268221574344022,0.013655629139072846,1.4868804664723028,0.013761589403973512
2.151603498542274,0.014397350993377488,1.9941690962099123,0.014344370860927158
2.6239067055393583,0.015139072847682122,2.483965014577259,0.015192052980132452
3.148688046647231,0.015986754966887423,2.9912536443148694,0.016039735099337753
3.5860058309037894,0.017152317880794708,3.481049562682216,0.017205298013245038
4.180758017492711,0.018635761589403978,3.9883381924198256,0.018423841059602653
4.653061224489796,0.019854304635761592,4.495626822157434,0.019907284768211922
5.160349854227406,0.02165562913907285,4.985422740524782,0.021549668874172187
5.615160349854228,0.022927152317880794,5.475218658892127,0.023350993377483448
6.157434402332362,0.025152317880794705,5.982507288629738,0.025311258278145697
6.629737609329447,0.027377483443708613,6.489795918367348,0.027430463576158946
7.137026239067056,0.02960264900662252,6.979591836734694,0.029761589403973512
7.626822157434403,0.03214569536423841,7.504373177842566,0.03219867549668874
8.169096209912535,0.03490066225165563,7.97667638483965,0.03479470198675497
8.606413994169095,0.03739072847682119,8.483965014577262,0.03754966887417219
9.131195335276967,0.04025165562913907,8.991253644314867,0.04051655629139073
9.603498542274053,0.04311258278145696,9.498542274052479,0.04358940397350994
10.110787172011662,0.04602649006622517,9.988338192419825,0.04687417218543047
