# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.107560E-05
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.492932E-05
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.134442E-04
  5  5.000     -0.500001E-01  0.549999      0.499999E-01  0.549999      0.549999     -0.297728E-04
  6  6.000     -0.500000E-01  0.549998      0.499999E-01  0.549998      0.549998     -0.583513E-04
  7  7.000     -0.500000E-01  0.549995      0.500000E-01  0.549995      0.549995     -0.104926E-03
  8  8.000     -0.499998E-01  0.549991      0.500002E-01  0.549991      0.549991     -0.176584E-03
  9  9.000     -0.499996E-01  0.549985      0.500004E-01  0.549985      0.549985     -0.281802E-03
 10  10.00     -0.499991E-01  0.549975      0.500008E-01  0.549976      0.549976     -0.430471E-03
 11  11.00     -0.499985E-01  0.549962      0.500015E-01  0.549963      0.549963     -0.633988E-03
 12  12.00     -0.499976E-01  0.549945      0.500023E-01  0.549946      0.549946     -0.905268E-03
 13  13.00     -0.499963E-01  0.549921      0.500035E-01  0.549924      0.549922     -0.125888E-02
 14  14.00     -0.499947E-01  0.549891      0.500051E-01  0.549894      0.549893     -0.171106E-02
 15  15.00     -0.499926E-01  0.549853      0.500071E-01  0.549857      0.549855     -0.227984E-02
 16  16.00     -0.499900E-01  0.549805      0.500097E-01  0.549810      0.549808     -0.298513E-02
 17  17.00     -0.499867E-01  0.549746      0.500129E-01  0.549753      0.549750     -0.384886E-02
 18  18.00     -0.499827E-01  0.549674      0.500168E-01  0.549683      0.549679     -0.489506E-02
 19  19.00     -0.499778E-01  0.549588      0.500215E-01  0.549599      0.549593     -0.614997E-02
 20  20.00     -0.499720E-01  0.549485      0.500272E-01  0.549498      0.549491     -0.764221E-02
 21  21.00     -0.499651E-01  0.549362      0.500339E-01  0.549379      0.549370     -0.940298E-02
 22  22.00     -0.499570E-01  0.549218      0.500418E-01  0.549238      0.549228     -0.114661E-01
 23  23.00     -0.499475E-01  0.549050      0.500511E-01  0.549074      0.549062     -0.138683E-01
 24  24.00     -0.499364E-01  0.548855      0.500618E-01  0.548884      0.548869     -0.166492E-01
 25  25.00     -0.499238E-01  0.548629      0.500741E-01  0.548664      0.548647     -0.198521E-01
 26  26.00     -0.499092E-01  0.548370      0.500883E-01  0.548411      0.548391     -0.235232E-01
 27  27.00     -0.498926E-01  0.548073      0.501045E-01  0.548122      0.548097     -0.277127E-01
 28  28.00     -0.498737E-01  0.547735      0.501229E-01  0.547792      0.547763     -0.324748E-01
 29  29.00     -0.498524E-01  0.547351      0.501436E-01  0.547417      0.547384     -0.378676E-01
 30  30.00     -0.498283E-01  0.546916      0.501670E-01  0.546993      0.546955     -0.439542E-01
 31  31.00     -0.498013E-01  0.546426      0.501933E-01  0.546514      0.546470     -0.508018E-01
 32  32.00     -0.497712E-01  0.545874      0.502227E-01  0.545976      0.545925     -0.584833E-01
 33  33.00     -0.497375E-01  0.545255      0.502554E-01  0.545372      0.545313     -0.670767E-01
 34  34.00     -0.497001E-01  0.544562      0.502918E-01  0.544695      0.544629     -0.766660E-01
 35  35.00     -0.496587E-01  0.543788      0.503322E-01  0.543940      0.543864     -0.873412E-01
 36  36.00     -0.496128E-01  0.542926      0.503768E-01  0.543099      0.543012     -0.991993E-01
 37  37.00     -0.495623E-01  0.541967      0.504260E-01  0.542163      0.542065     -0.112344    
 38  38.00     -0.495067E-01  0.540902      0.504802E-01  0.541123      0.541013     -0.126888    
 39  39.00     -0.494456E-01  0.539722      0.505396E-01  0.539971      0.539847     -0.142950    
 40  40.00     -0.493788E-01  0.538416      0.506048E-01  0.538696      0.538556     -0.160659    
 41  41.00     -0.493057E-01  0.536973      0.506759E-01  0.537287      0.537130     -0.180154    
 42  42.00     -0.492259E-01  0.535380      0.507536E-01  0.535732      0.535556     -0.201586    
 43  43.00     -0.491391E-01  0.533624      0.508382E-01  0.534017      0.533821     -0.225114    
 44  44.00     -0.490446E-01  0.531691      0.509302E-01  0.532129      0.531910     -0.250914    
 45  45.00     -0.489421E-01  0.529563      0.510300E-01  0.530050      0.529807     -0.279175    
 46  46.00     -0.488310E-01  0.527224      0.511383E-01  0.527765      0.527494     -0.310104    
 47  47.00     -0.487107E-01  0.524653      0.512555E-01  0.525253      0.524953     -0.343925    
 48  48.00     -0.485806E-01  0.521829      0.513822E-01  0.522494      0.522161     -0.380888    
 49  49.00     -0.484401E-01  0.518727      0.515191E-01  0.519463      0.519095     -0.421268    
 50  50.00     -0.482884E-01  0.515321      0.516668E-01  0.516133      0.515727     -0.465374    
