# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.458960E-06
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.206293E-05
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.549498E-05
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.118980E-04
  6  6.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.228814E-04
  7  7.000     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.405305E-04
  8  8.000     -0.500000E-01  0.549997      0.500000E-01  0.549997      0.549997     -0.674176E-04
  9  9.000     -0.499999E-01  0.549994      0.500001E-01  0.549995      0.549994     -0.106625E-03
 10  10.00     -0.499997E-01  0.549991      0.500003E-01  0.549991      0.549991     -0.161750E-03
 11  11.00     -0.499995E-01  0.549986      0.500005E-01  0.549987      0.549986     -0.236939E-03
 12  12.00     -0.499992E-01  0.549980      0.500008E-01  0.549980      0.549980     -0.336902E-03
 13  13.00     -0.499987E-01  0.549971      0.500012E-01  0.549972      0.549972     -0.466951E-03
 14  14.00     -0.499982E-01  0.549960      0.500018E-01  0.549962      0.549961     -0.633030E-03
 15  15.00     -0.499974E-01  0.549947      0.500025E-01  0.549948      0.549947     -0.841731E-03
 16  16.00     -0.499965E-01  0.549929      0.500034E-01  0.549931      0.549930     -0.110038E-02
 17  17.00     -0.499953E-01  0.549908      0.500046E-01  0.549910      0.549909     -0.141703E-02
 18  18.00     -0.499938E-01  0.549882      0.500060E-01  0.549885      0.549883     -0.180055E-02
 19  19.00     -0.499920E-01  0.549850      0.500077E-01  0.549854      0.549852     -0.226065E-02
 20  20.00     -0.499899E-01  0.549813      0.500098E-01  0.549818      0.549815     -0.280794E-02
 21  21.00     -0.499874E-01  0.549768      0.500123E-01  0.549774      0.549771     -0.345405E-02
 22  22.00     -0.499844E-01  0.549716      0.500152E-01  0.549724      0.549720     -0.421161E-02
 23  23.00     -0.499809E-01  0.549655      0.500186E-01  0.549664      0.549659     -0.509446E-02
 24  24.00     -0.499768E-01  0.549584      0.500226E-01  0.549595      0.549589     -0.611760E-02
 25  25.00     -0.499721E-01  0.549502      0.500272E-01  0.549515      0.549508     -0.729732E-02
 26  26.00     -0.499666E-01  0.549407      0.500325E-01  0.549422      0.549415     -0.865141E-02
 27  27.00     -0.499604E-01  0.549299      0.500385E-01  0.549317      0.549308     -0.101991E-01
 28  28.00     -0.499533E-01  0.549176      0.500454E-01  0.549196      0.549186     -0.119614E-01
 29  29.00     -0.499452E-01  0.549035      0.500533E-01  0.549060      0.549047     -0.139610E-01
 30  30.00     -0.499360E-01  0.548876      0.500622E-01  0.548905      0.548890     -0.162225E-01
 31  31.00     -0.499257E-01  0.548696      0.500723E-01  0.548729      0.548713     -0.187728E-01
 32  32.00     -0.499141E-01  0.548494      0.500836E-01  0.548532      0.548513     -0.216410E-01
 33  33.00     -0.499011E-01  0.548266      0.500962E-01  0.548310      0.548288     -0.248585E-01
 34  34.00     -0.498865E-01  0.548011      0.501104E-01  0.548061      0.548036     -0.284597E-01
 35  35.00     -0.498703E-01  0.547726      0.501262E-01  0.547783      0.547754     -0.324818E-01
 36  36.00     -0.498522E-01  0.547407      0.501439E-01  0.547472      0.547440     -0.369651E-01
 37  37.00     -0.498321E-01  0.547052      0.501634E-01  0.547125      0.547089     -0.419535E-01
 38  38.00     -0.498098E-01  0.546657      0.501851E-01  0.546740      0.546698     -0.474947E-01
 39  39.00     -0.497851E-01  0.546218      0.502092E-01  0.546311      0.546264     -0.536407E-01
 40  40.00     -0.497578E-01  0.545730      0.502357E-01  0.545836      0.545783     -0.604476E-01
 41  41.00     -0.497277E-01  0.545190      0.502651E-01  0.545309      0.545249     -0.679770E-01
 42  42.00     -0.496945E-01  0.544592      0.502974E-01  0.544725      0.544659     -0.762955E-01
 43  43.00     -0.496580E-01  0.543931      0.503329E-01  0.544080      0.544006     -0.854760E-01
 44  44.00     -0.496179E-01  0.543200      0.503720E-01  0.543367      0.543284     -0.955979E-01
 45  45.00     -0.495738E-01  0.542394      0.504149E-01  0.542580      0.542487     -0.106748    
 46  46.00     -0.495255E-01  0.541504      0.504619E-01  0.541712      0.541608     -0.119020    
 47  47.00     -0.494726E-01  0.540523      0.505134E-01  0.540755      0.540639     -0.132519    
 48  48.00     -0.494147E-01  0.539442      0.505698E-01  0.539699      0.539571     -0.147359    
 49  49.00     -0.493514E-01  0.538252      0.506315E-01  0.538537      0.538394     -0.163662    
 50  50.00     -0.492821E-01  0.536940      0.506989E-01  0.537257      0.537099     -0.181568    
 51  51.00     -0.492065E-01  0.535496      0.507726E-01  0.535847      0.535672     -0.201228    
 52  52.00     -0.491240E-01  0.533907      0.508529E-01  0.534295      0.534101     -0.222809    
 53  53.00     -0.490340E-01  0.532156      0.509406E-01  0.532586      0.532371     -0.246497    
 54  54.00     -0.489357E-01  0.530228      0.510363E-01  0.530703      0.530466     -0.272501    
