# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.736438E-06
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.334848E-05
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.904649E-05
  5  5.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.198546E-04
  6  6.000     -0.500000E-01  0.549998      0.500000E-01  0.549999      0.549998     -0.386253E-04
  7  7.000     -0.500000E-01  0.549997      0.500000E-01  0.549997      0.549997     -0.690527E-04
  8  8.000     -0.499999E-01  0.549994      0.500001E-01  0.549994      0.549994     -0.115695E-03
  9  9.000     -0.499997E-01  0.549990      0.500002E-01  0.549990      0.549990     -0.184004E-03
 10  10.00     -0.499995E-01  0.549984      0.500005E-01  0.549985      0.549984     -0.280347E-03
 11  11.00     -0.499991E-01  0.549976      0.500009E-01  0.549976      0.549976     -0.412057E-03
 12  12.00     -0.499985E-01  0.549964      0.500015E-01  0.549966      0.549965     -0.587472E-03
 13  13.00     -0.499977E-01  0.549949      0.500022E-01  0.549951      0.549950     -0.815971E-03
 14  14.00     -0.499967E-01  0.549930      0.500032E-01  0.549932      0.549931     -0.110804E-02
 15  15.00     -0.499953E-01  0.549905      0.500045E-01  0.549908      0.549907     -0.147535E-02
 16  16.00     -0.499936E-01  0.549875      0.500062E-01  0.549878      0.549876     -0.193074E-02
 17  17.00     -0.499915E-01  0.549837      0.500082E-01  0.549841      0.549839     -0.248847E-02
 18  18.00     -0.499889E-01  0.549791      0.500108E-01  0.549796      0.549793     -0.316408E-02
 19  19.00     -0.499858E-01  0.549735      0.500138E-01  0.549742      0.549739     -0.397464E-02
 20  20.00     -0.499820E-01  0.549669      0.500175E-01  0.549677      0.549673     -0.493879E-02
 21  21.00     -0.499775E-01  0.549590      0.500218E-01  0.549600      0.549595     -0.607689E-02
 22  22.00     -0.499722E-01  0.549497      0.500270E-01  0.549510      0.549504     -0.741101E-02
 23  23.00     -0.499661E-01  0.549389      0.500330E-01  0.549405      0.549397     -0.896529E-02
 24  24.00     -0.499589E-01  0.549263      0.500400E-01  0.549282      0.549273     -0.107658E-01
 25  25.00     -0.499506E-01  0.549118      0.500480E-01  0.549141      0.549129     -0.128410E-01
 26  26.00     -0.499411E-01  0.548951      0.500573E-01  0.548978      0.548964     -0.152214E-01
 27  27.00     -0.499302E-01  0.548760      0.500679E-01  0.548791      0.548775     -0.179406E-01
 28  28.00     -0.499178E-01  0.548542      0.500800E-01  0.548578      0.548560     -0.210344E-01
 29  29.00     -0.499037E-01  0.548294      0.500937E-01  0.548336      0.548315     -0.245420E-01
 30  30.00     -0.498878E-01  0.548013      0.501091E-01  0.548063      0.548038     -0.285056E-01
 31  31.00     -0.498699E-01  0.547696      0.501265E-01  0.547753      0.547725     -0.329707E-01
 32  32.00     -0.498499E-01  0.547339      0.501460E-01  0.547405      0.547372     -0.379867E-01
 33  33.00     -0.498274E-01  0.546938      0.501679E-01  0.547014      0.546976     -0.436071E-01
 34  34.00     -0.498024E-01  0.546489      0.501923E-01  0.546576      0.546533     -0.498892E-01
 35  35.00     -0.497746E-01  0.545987      0.502194E-01  0.546086      0.546037     -0.568955E-01
 36  36.00     -0.497437E-01  0.545427      0.502495E-01  0.545540      0.545483     -0.646932E-01
 37  37.00     -0.497094E-01  0.544803      0.502828E-01  0.544931      0.544867     -0.733550E-01
 38  38.00     -0.496716E-01  0.544110      0.503196E-01  0.544255      0.544183     -0.829595E-01
 39  39.00     -0.496299E-01  0.543341      0.503603E-01  0.543504      0.543422     -0.935917E-01
 40  40.00     -0.495839E-01  0.542488      0.504050E-01  0.542672      0.542580     -0.105343    
 41  41.00     -0.495335E-01  0.541544      0.504541E-01  0.541751      0.541648     -0.118314    
 42  42.00     -0.494781E-01  0.540501      0.505080E-01  0.540733      0.540617     -0.132611    
