# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.904757E-07
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.387251E-06
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.966688E-06
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.195630E-05
  6  6.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.353597E-05
  7  7.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.593900E-05
  8  8.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.945244E-05
  9  9.000     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.144219E-04
 10  10.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.212480E-04
 11  11.00     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.303961E-04
 12  12.00     -0.499999E-01  0.549998      0.500001E-01  0.549998      0.549998     -0.423945E-04
 13  13.00     -0.499999E-01  0.549997      0.500001E-01  0.549997      0.549997     -0.578376E-04
 14  14.00     -0.499998E-01  0.549996      0.500001E-01  0.549996      0.549996     -0.773908E-04
 15  15.00     -0.499998E-01  0.549994      0.500002E-01  0.549994      0.549994     -0.101795E-03
 16  16.00     -0.499997E-01  0.549992      0.500003E-01  0.549992      0.549992     -0.131876E-03
 17  17.00     -0.499995E-01  0.549990      0.500004E-01  0.549990      0.549990     -0.168535E-03
 18  18.00     -0.499994E-01  0.549987      0.500006E-01  0.549987      0.549987     -0.212772E-03
 19  19.00     -0.499992E-01  0.549983      0.500008E-01  0.549984      0.549983     -0.265683E-03
 20  20.00     -0.499990E-01  0.549979      0.500010E-01  0.549980      0.549979     -0.328473E-03
 21  21.00     -0.499987E-01  0.549974      0.500013E-01  0.549975      0.549974     -0.402446E-03
 22  22.00     -0.499984E-01  0.549968      0.500016E-01  0.549969      0.549969     -0.489050E-03
 23  23.00     -0.499980E-01  0.549961      0.500019E-01  0.549962      0.549962     -0.589841E-03
 24  24.00     -0.499975E-01  0.549953      0.500024E-01  0.549955      0.549954     -0.706537E-03
 25  25.00     -0.499970E-01  0.549944      0.500029E-01  0.549946      0.549945     -0.841013E-03
 26  26.00     -0.499964E-01  0.549934      0.500035E-01  0.549935      0.549935     -0.995283E-03
 27  27.00     -0.499957E-01  0.549922      0.500041E-01  0.549924      0.549923     -0.117157E-02
 28  28.00     -0.499949E-01  0.549908      0.500049E-01  0.549910      0.549909     -0.137230E-02
 29  29.00     -0.499940E-01  0.549892      0.500058E-01  0.549895      0.549893     -0.160009E-02
 30  30.00     -0.499930E-01  0.549874      0.500068E-01  0.549877      0.549876     -0.185781E-02
 31  31.00     -0.499918E-01  0.549854      0.500079E-01  0.549858      0.549856     -0.214860E-02
 32  32.00     -0.499905E-01  0.549831      0.500092E-01  0.549836      0.549834     -0.247588E-02
 33  33.00     -0.499891E-01  0.549806      0.500106E-01  0.549811      0.549808     -0.284336E-02
 34  34.00     -0.499874E-01  0.549777      0.500123E-01  0.549783      0.549780     -0.325508E-02
 35  35.00     -0.499855E-01  0.549745      0.500141E-01  0.549752      0.549748     -0.371552E-02
 36  36.00     -0.499834E-01  0.549709      0.500161E-01  0.549717      0.549713     -0.422951E-02
 37  37.00     -0.499811E-01  0.549669      0.500184E-01  0.549677      0.549673     -0.480234E-02
 38  38.00     -0.499785E-01  0.549624      0.500209E-01  0.549634      0.549629     -0.543982E-02
 39  39.00     -0.499756E-01  0.549575      0.500237E-01  0.549586      0.549580     -0.614829E-02
 40  40.00     -0.499724E-01  0.549520      0.500268E-01  0.549532      0.549526     -0.693471E-02
 41  41.00     -0.499689E-01  0.549458      0.500303E-01  0.549472      0.549465     -0.780672E-02
 42  42.00     -0.499649E-01  0.549390      0.500341E-01  0.549406      0.549398     -0.877267E-02
 43  43.00     -0.499606E-01  0.549315      0.500383E-01  0.549332      0.549324     -0.984182E-02
 44  44.00     -0.499558E-01  0.549232      0.500430E-01  0.549251      0.549241     -0.110242E-01
 45  45.00     -0.499504E-01  0.549140      0.500482E-01  0.549161      0.549150     -0.123310E-01
 46  46.00     -0.499445E-01  0.549038      0.500540E-01  0.549062      0.549050     -0.137746E-01
 47  47.00     -0.499380E-01  0.548925      0.500603E-01  0.548952      0.548938     -0.153684E-01
 48  48.00     -0.499309E-01  0.548801      0.500673E-01  0.548831      0.548816     -0.171274E-01
 49  49.00     -0.499230E-01  0.548663      0.500750E-01  0.548696      0.548680     -0.190682E-01
 50  50.00     -0.499142E-01  0.548511      0.500835E-01  0.548548      0.548530     -0.212091E-01
 51  51.00     -0.499046E-01  0.548344      0.500928E-01  0.548385      0.548364     -0.235704E-01
 52  52.00     -0.498941E-01  0.548159      0.501031E-01  0.548205      0.548182     -0.261749E-01
 53  53.00     -0.498824E-01  0.547955      0.501145E-01  0.548005      0.547980     -0.290475E-01
 54  54.00     -0.498695E-01  0.547729      0.501270E-01  0.547785      0.547757     -0.322164E-01
 55  55.00     -0.498554E-01  0.547480      0.501408E-01  0.547543      0.547511     -0.357129E-01
 56  56.00     -0.498397E-01  0.547205      0.501560E-01  0.547274      0.547240     -0.395718E-01
 57  57.00     -0.498225E-01  0.546901      0.501727E-01  0.546977      0.546939     -0.438326E-01
 58  58.00     -0.498035E-01  0.546565      0.501912E-01  0.546649      0.546607     -0.485392E-01
 59  59.00     -0.497826E-01  0.546192      0.502116E-01  0.546286      0.546239     -0.537413E-01
 60  60.00     -0.497595E-01  0.545780      0.502342E-01  0.545884      0.545832     -0.594949E-01
 61  61.00     -0.497339E-01  0.545324      0.502590E-01  0.545439      0.545381     -0.658634E-01
 62  62.00     -0.497057E-01  0.544817      0.502865E-01  0.544945      0.544881     -0.729186E-01
 63  63.00     -0.496744E-01  0.544255      0.503170E-01  0.544396      0.544326     -0.807425E-01
 64  64.00     -0.496398E-01  0.543630      0.503507E-01  0.543786      0.543708     -0.894286E-01
 65  65.00     -0.496014E-01  0.542934      0.503881E-01  0.543107      0.543021     -0.990840E-01
 66  66.00     -0.495588E-01  0.542158      0.504296E-01  0.542350      0.542254     -0.109832    
 67  67.00     -0.495114E-01  0.541292      0.504757E-01  0.541505      0.541398     -0.121816    
 68  68.00     -0.494586E-01  0.540323      0.505271E-01  0.540559      0.540441     -0.135202    
 69  69.00     -0.493998E-01  0.539236      0.505844E-01  0.539498      0.539367     -0.150183    
 70  70.00     -0.493340E-01  0.538015      0.506485E-01  0.538306      0.538161     -0.166988    
 71  71.00     -0.492603E-01  0.536638      0.507202E-01  0.536963      0.536801     -0.185889    
 72  72.00     -0.491775E-01  0.535082      0.508008E-01  0.535444      0.535263     -0.207210    
 73  73.00     -0.490843E-01  0.533316      0.508917E-01  0.533720      0.533518     -0.231344    
 74  74.00     -0.489788E-01  0.531304      0.509944E-01  0.531756      0.531530     -0.258773    
 75  75.00     -0.488590E-01  0.528999      0.511110E-01  0.529506      0.529253     -0.290097    
 76  76.00     -0.487223E-01  0.526343      0.512442E-01  0.526913      0.526628     -0.326077    
 77  77.00     -0.485652E-01  0.523260      0.513973E-01  0.523901      0.523580     -0.367705    
 78  78.00     -0.483831E-01  0.519644      0.515746E-01  0.520370      0.520007     -0.416311    
 79  79.00     -0.481698E-01  0.515351      0.517824E-01  0.516177      0.515764     -0.473759    
 80  80.00     -0.479159E-01  0.510162      0.520297E-01  0.511109      0.510635     -0.542814    
 81  81.00     -0.476067E-01  0.503723      0.523309E-01  0.504819      0.504271     -0.627943    
 82  82.00     -0.472148E-01  0.495381      0.527126E-01  0.496667      0.496024     -0.737378    
 83  83.00     -0.466767E-01  0.483582      0.532368E-01  0.485137      0.484359     -0.890525    
 84  84.00     -0.456826E-01  0.460708      0.542053E-01  0.462772      0.461740      -1.18231    
