# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.147597E-05
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.680235E-05
  4  4.000     -0.500001E-01  0.549999      0.499999E-01  0.549999      0.549999     -0.186784E-04
  5  5.000     -0.500001E-01  0.549999      0.499999E-01  0.549999      0.549999     -0.416205E-04
  6  6.000     -0.500001E-01  0.549997      0.499999E-01  0.549997      0.549997     -0.819848E-04
  7  7.000     -0.500000E-01  0.549993      0.500000E-01  0.549993      0.549993     -0.148003E-03
  8  8.000     -0.499997E-01  0.549987      0.500003E-01  0.549988      0.549987     -0.249820E-03
  9  9.000     -0.499993E-01  0.549978      0.500006E-01  0.549979      0.549978     -0.399567E-03
 10  10.00     -0.499987E-01  0.549965      0.500012E-01  0.549966      0.549965     -0.611395E-03
 11  11.00     -0.499978E-01  0.549946      0.500021E-01  0.549948      0.549947     -0.901571E-03
 12  12.00     -0.499965E-01  0.549921      0.500034E-01  0.549923      0.549922     -0.128857E-02
 13  13.00     -0.499947E-01  0.549887      0.500051E-01  0.549891      0.549889     -0.179315E-02
 14  14.00     -0.499924E-01  0.549844      0.500074E-01  0.549848      0.549846     -0.243846E-02
 15  15.00     -0.499894E-01  0.549789      0.500103E-01  0.549795      0.549792     -0.325016E-02
 16  16.00     -0.499856E-01  0.549721      0.500139E-01  0.549728      0.549725     -0.425656E-02
 17  17.00     -0.499809E-01  0.549636      0.500185E-01  0.549646      0.549641     -0.548875E-02
 18  18.00     -0.499752E-01  0.549534      0.500240E-01  0.549546      0.549540     -0.698079E-02
 19  19.00     -0.499683E-01  0.549410      0.500308E-01  0.549425      0.549417     -0.876973E-02
