# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.193684E-05
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.896314E-05
  4  4.000     -0.500001E-01  0.549999      0.499999E-01  0.549999      0.549999     -0.247330E-04
  5  5.000     -0.500001E-01  0.549998      0.499999E-01  0.549998      0.549998     -0.553578E-04
  6  6.000     -0.500001E-01  0.549995      0.499999E-01  0.549996      0.549995     -0.109437E-03
  7  7.000     -0.499999E-01  0.549991      0.500001E-01  0.549991      0.549991     -0.198101E-03
  8  8.000     -0.499996E-01  0.549983      0.500004E-01  0.549983      0.549983     -0.335067E-03
  9  9.000     -0.499991E-01  0.549970      0.500009E-01  0.549971      0.549971     -0.536714E-03
 10  10.00     -0.499982E-01  0.549952      0.500017E-01  0.549954      0.549953     -0.822153E-03
 11  11.00     -0.499970E-01  0.549927      0.500029E-01  0.549929      0.549928     -0.121334E-02
 12  12.00     -0.499952E-01  0.549893      0.500046E-01  0.549896      0.549894     -0.173515E-02
 13  13.00     -0.499928E-01  0.549848      0.500069E-01  0.549852      0.549850     -0.241552E-02
 14  14.00     -0.499897E-01  0.549789      0.500100E-01  0.549795      0.549792     -0.328557E-02
 15  15.00     -0.499856E-01  0.549715      0.500139E-01  0.549723      0.549719     -0.437976E-02
 16  16.00     -0.499806E-01  0.549622      0.500188E-01  0.549632      0.549627     -0.573601E-02
 17  17.00     -0.499743E-01  0.549508      0.500249E-01  0.549521      0.549515     -0.739592E-02
 18  18.00     -0.499666E-01  0.549369      0.500324E-01  0.549386      0.549377     -0.940487E-02
 19  19.00     -0.499574E-01  0.549202      0.500414E-01  0.549222      0.549212     -0.118122E-01
 20  20.00     -0.499463E-01  0.549002      0.500521E-01  0.549027      0.549015     -0.146717E-01
 21  21.00     -0.499333E-01  0.548765      0.500648E-01  0.548797      0.548781     -0.180411E-01
 22  22.00     -0.499180E-01  0.548487      0.500797E-01  0.548526      0.548506     -0.219833E-01
 23  23.00     -0.499003E-01  0.548163      0.500969E-01  0.548209      0.548186     -0.265655E-01
 24  24.00     -0.498798E-01  0.547786      0.501169E-01  0.547842      0.547814     -0.318604E-01
 25  25.00     -0.498563E-01  0.547351      0.501398E-01  0.547418      0.547385     -0.379456E-01
 26  26.00     -0.498295E-01  0.546853      0.501659E-01  0.546931      0.546892     -0.449046E-01
 27  27.00     -0.497990E-01  0.546282      0.501955E-01  0.546374      0.546328     -0.528262E-01
 28  28.00     -0.497647E-01  0.545633      0.502289E-01  0.545741      0.545687     -0.618058E-01
 29  29.00     -0.497262E-01  0.544897      0.502664E-01  0.545023      0.544960     -0.719445E-01
 30  30.00     -0.496831E-01  0.544065      0.503084E-01  0.544211      0.544138     -0.833502E-01
 31  31.00     -0.496350E-01  0.543129      0.503551E-01  0.543297      0.543213     -0.961374E-01
 32  32.00     -0.495818E-01  0.542077      0.504070E-01  0.542270      0.542174     -0.110428    
 33  33.00     -0.495229E-01  0.540900      0.504644E-01  0.541121      0.541011     -0.126351    
 34  34.00     -0.494580E-01  0.539586      0.505275E-01  0.539838      0.539712     -0.144043    
 35  35.00     -0.493868E-01  0.538123      0.505969E-01  0.538408      0.538265     -0.163648    
 36  36.00     -0.493089E-01  0.536496      0.506728E-01  0.536820      0.536658     -0.185321    
 37  37.00     -0.492239E-01  0.534693      0.507555E-01  0.535058      0.534875     -0.209224    
 38  38.00     -0.491314E-01  0.532697      0.508456E-01  0.533108      0.532902     -0.235528    
 39  39.00     -0.490311E-01  0.530492      0.509433E-01  0.530954      0.530723     -0.264417    
 40  40.00     -0.489226E-01  0.528061      0.510490E-01  0.528578      0.528319     -0.296086    
 41  41.00     -0.488054E-01  0.525384      0.511632E-01  0.525961      0.525672     -0.330742    
 42  42.00     -0.486792E-01  0.522439      0.512861E-01  0.523083      0.522761     -0.368610    
 43  43.00     -0.485436E-01  0.519205      0.514182E-01  0.519921      0.519563     -0.409930    
 44  44.00     -0.483981E-01  0.515657      0.515599E-01  0.516451      0.516054     -0.454967    
 45  45.00     -0.482423E-01  0.511765      0.517117E-01  0.512644      0.512205     -0.504008    
 46  46.00     -0.480756E-01  0.507499      0.518741E-01  0.508472      0.507985     -0.557376    
 47  47.00     -0.478974E-01  0.502824      0.520476E-01  0.503898      0.503361     -0.615435    
 48  48.00     -0.477070E-01  0.497698      0.522330E-01  0.498883      0.498291     -0.678602    
 49  49.00     -0.475035E-01  0.492076      0.524312E-01  0.493380      0.492728     -0.747366    
 50  50.00     -0.472858E-01  0.485898      0.526432E-01  0.487333      0.486616     -0.822313    
 51  51.00     -0.470525E-01  0.479098      0.528704E-01  0.480676      0.479887     -0.904158    
 52  52.00     -0.468016E-01  0.471588      0.531147E-01  0.473323      0.472456     -0.993800    
 53  53.00     -0.465304E-01  0.463258      0.533787E-01  0.465165      0.464212      -1.09241    
 54  54.00     -0.462353E-01  0.453961      0.536659E-01  0.456058      0.455010      -1.20154    
 55  55.00     -0.459109E-01  0.443495      0.539816E-01  0.445805      0.444650      -1.32334    
 56  56.00     -0.455494E-01  0.431573      0.543334E-01  0.434123      0.432848      -1.46086    
 57  57.00     -0.451387E-01  0.417781      0.547329E-01  0.420605      0.419193      -1.61853    
 58  58.00     -0.446615E-01  0.401532      0.551971E-01  0.404678      0.403105      -1.80252    
 59  59.00     -0.440951E-01  0.382130      0.557480E-01  0.385655      0.383893      -2.01997    
 60  60.00     -0.434193E-01  0.359144      0.564053E-01  0.363113      0.361128      -2.27474    
 61  61.00     -0.426238E-01  0.332848      0.571793E-01  0.337319      0.335084      -2.56301    
 62  62.00     -0.416899E-01  0.303796      0.580884E-01  0.308818      0.306307      -2.87883    
 63  63.00     -0.405640E-01  0.272157      0.591854E-01  0.277778      0.274968      -3.22207    
 64  64.00     -0.391254E-01  0.237375      0.605887E-01  0.243659      0.240517      -3.60275    
