# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       5.72808     -0.184118      -19.3116       14.2670    
  2  2.000       8.10224      0.266620E-01   12.6247       8.92476    
  3  3.000       10.5010      0.189578       34.2683       3.67780    
  4  4.000       13.3458      0.414143       41.3147       1.82910    
  5  5.000       17.1408      0.728449       44.9637      0.861582    
  6  6.000       21.6873       1.11127       47.0187      0.315691    
  7  7.000       26.4126       1.51175       48.1989      0.216767E-02
  8  8.000       31.3623       1.93252       48.9726     -0.203244    
