# FFWT Flare 30                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       1.81928     -0.513143      -26.1015       14.6943    
  2  2.000       2.01317     -0.478498      -18.5415       10.7086    
  3  3.000       2.10962     -0.461196      -13.6621       7.98955    
  4  4.000       2.16053     -0.452060      -10.3199       6.07447    
  5  5.000       2.18671     -0.447361      -8.12418       4.79798    
  6  6.000       2.20384     -0.444286      -6.30555       3.73203    
  7  7.000       2.21210     -0.442805      -5.21464       3.08959    
  8  8.000       2.21790     -0.441763      -4.28760       2.54220    
