# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -10.0005     -0.120920       2.79609       4.99743    
  2  2.000      -5.90067     -0.110471       3.00364       4.88740    
  3  3.000      -1.93713     -0.105877       3.39924       4.83363    
  4  4.000       1.98099     -0.105411       4.09365       4.82732    
  5  5.000       6.03551     -0.108796       5.38187       4.86355    
  6  6.000       9.95336     -0.115607       7.75869       4.92038    
  7  7.000       13.9162     -0.125880       12.9972       4.90315    
  8  8.000       15.9658     -0.132505       18.4424       4.72008    
  9  9.000       16.9674     -0.136082       22.4691       4.50207    
 10  10.00       17.9641     -0.139887       27.9030       4.12088    
 11  11.00       18.4575     -0.141874       31.3332       3.83982    
 12  12.00       18.9928     -0.144119       35.8368       3.43632    
 13  13.00       19.3980     -0.145894       40.0006       3.04017    
 14  14.00       19.6700     -0.147132       43.3234       2.71603    
 15  15.00       19.8047     -0.147761       45.1864       2.53350    
 16  16.00       20.0761     -0.149077       49.5884       2.10652    
 17  17.00       20.4402     -0.151023       58.3883       1.31071    
 18  18.00       20.8498     -0.153341       69.9458      0.648704    
