# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000      -17.9712      -2.35054      -68.2177       1.71658    
  2  2.000      -17.0532      -2.26065      -64.9833       1.92942    
  3  3.000      -15.3007      -2.08735      -60.9356       2.17543    
  4  4.000      -11.7520      -1.77039      -55.4390       2.48854    
  5  5.000      -7.25916      -1.37056      -47.5266       2.95727    
  6  6.000      -2.91826     -0.971964      -37.5935       3.53961    
  7  7.000       1.40815     -0.566851      -24.6857       4.15436    
  8  8.000       5.97715     -0.144735      -6.25293       4.45282    
  9  9.000       10.0326      0.194390       16.3181       3.60439    
 10  10.00       13.4551      0.439543       36.5671       1.95233    
 11  11.00       16.6403      0.670185       50.9851      0.650952    
 12  12.00       17.9931      0.774948       58.8395      0.643026E-01
 13  13.00       18.6353      0.818722       63.9940     -0.225048    
 14  14.00       19.0354      0.842534       67.8468     -0.380171    
 15  15.00       19.2990      0.860803       70.7041     -0.458267    
 16  16.00       19.4865      0.881771       72.9316     -0.496607    
 17  17.00       19.6486      0.915927       75.0403     -0.514764    
