# FFWT Flare 30                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       4.08191     -0.296066      -19.3352       16.5836    
  2  2.000       5.46271     -0.161124      -9.55771       11.3017    
  3  3.000       6.84937     -0.360892E-01  -3.79117       7.98360    
  4  4.000       8.67140      0.123482      0.398478       5.51135    
  5  5.000       10.4952      0.282165       2.78411       4.08954    
  6  6.000       12.7034      0.474251       4.55216       3.03221    
  7  7.000       15.2200      0.693385       5.82200       2.27197    
  8  8.000       18.0102      0.936596       6.74747       1.71787    
