# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       1.47185     -0.575582      -34.4902       12.0081    
  2  2.000       1.71284     -0.533143      -25.8396       9.27940    
  3  3.000       1.86728     -0.505868      -19.0334       6.96417    
  4  4.000       1.94196     -0.492664      -14.8911       5.49645    
  5  5.000       1.98786     -0.484544      -11.7271       4.35157    
  6  6.000       2.01620     -0.479529      -9.29033       3.45854    
  7  7.000       2.03263     -0.476621      -7.54319       2.81337    
  8  8.000       2.04288     -0.474808      -6.21699       2.32144    
