# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000      -17.7091      -2.30893      -51.7856       3.45321    
  2  2.000      -16.7077      -2.20408      -47.6612       3.78100    
  3  3.000      -14.8575      -2.01418      -42.9696       4.09727    
  4  4.000      -11.2326      -1.68380      -37.2945       4.40136    
  5  5.000      -6.72888      -1.27958      -30.1928       4.71352    
  6  6.000      -2.45776     -0.891111      -22.5566       4.94453    
  7  7.000       1.71698     -0.511279      -14.1120       5.02728    
  8  8.000       6.12434     -0.116988      -4.02137       4.83683    
  9  9.000       10.2934      0.241979       6.62606       4.27423    
 10  10.00       14.0979      0.552473       16.9627       3.41328    
 11  11.00       17.5142      0.822652       27.4525       2.34077    
 12  12.00       18.8624      0.925983       35.5187       1.52829    
 13  13.00       19.4419      0.956456       42.1009      0.931867    
 14  14.00       19.7646      0.964079       47.7697      0.484637    
 15  15.00       19.9564      0.967486       52.3876      0.174740    
 16  16.00       20.0816      0.975655       56.2189     -0.409847E-01
 17  17.00       20.1813      0.997109       60.0168     -0.215368    
