# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -9.95057      0.456590      -11.5268       3.79973    
  2  2.000      -5.98662      0.529730      -13.5359       3.60912    
  3  3.000      -1.93088      0.566020      -16.1717       3.42894    
  4  4.000       1.98819      0.579720      -19.6744       3.23166    
  5  5.000       5.99891      0.577897      -25.1104       2.92168    
  6  6.000       10.0106      0.562633      -34.6315       2.28255    
  7  7.000       14.0239      0.535209      -53.2448      0.934758    
  8  8.000       16.0320      0.517238      -66.3854      0.221823    
  9  9.000       17.9961      0.497220      -79.3759     -0.923314E-01
 10  10.00       21.1040      0.461172      -97.0938      0.243115    
 11  11.00       21.9270      0.450798      -101.113      0.443132    
 12  12.00       22.4745      0.443714      -103.642      0.590936    
 13  13.00       23.0219      0.436490      -106.061      0.747401    
 14  14.00       23.4775      0.430371      -107.995      0.882598    
