# FFWT Flare 30                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       6.23436     -0.954187E-01  -11.1557       17.7942    
  2  2.000       8.68752      0.118688      0.742337       11.0212    
  3  3.000       11.4966      0.356558       7.60763       6.87405    
  4  4.000       14.8770      0.643754       11.6517       4.39857    
  5  5.000       18.6672      0.968009       14.0690       2.91772    
  6  6.000       23.1298       1.35158       15.7171       1.91025    
  7  7.000       27.7883       1.75313       16.7885       1.25701    
  8  8.000       33.3057       2.22954       17.6218      0.750041    
