# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       3.40011     -0.418079      -35.6179       10.7330    
  2  2.000       4.93908     -0.250994      -19.8714       8.93762    
  3  3.000       6.51061     -0.988323E-01  -5.50923       6.71867    
  4  4.000       8.23892      0.505454E-01   6.17936       4.59708    
  5  5.000       10.1345      0.207937       13.8059       3.10584    
  6  6.000       12.2213      0.382020       18.5586       2.14839    
  7  7.000       14.4866      0.573034       21.6339       1.52135    
  8  8.000       17.2838      0.810904       23.9857       1.03921    
