# FFWT Flare 10                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       1.00328     -0.657359      -47.5665       7.63943    
  2  2.000       1.27853     -0.609849      -38.5332       6.45160    
  3  3.000       1.46524     -0.577451      -31.9260       5.48022    
  4  4.000       1.61804     -0.550854      -25.8393       4.51977    
  5  5.000       1.72649     -0.531939      -20.7828       3.68157    
  6  6.000       1.79393     -0.520162      -17.0450       3.04244    
  7  7.000       1.83880     -0.512321      -14.0903       2.52751    
  8  8.000       1.86905     -0.507032      -11.7221       2.10962    
