# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       3.81847     -0.345739      -24.7884       14.1726    
  2  2.000       5.18582     -0.206311      -12.7983       10.3484    
  3  3.000       6.69885     -0.677037E-01  -3.96830       7.21792    
  4  4.000       8.40131      0.807930E-01   1.84207       5.05591    
  5  5.000       10.3103      0.245376       5.59997       3.62930    
  6  6.000       12.5102      0.435014       8.18979       2.63798    
  7  7.000       14.9330      0.644303       9.97790       1.95118    
  8  8.000       17.7597      0.888992       11.3379       1.42814    
