# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     beta          Mc` mom[ 1]   Phi[ 3]       alpha[ 3]    
  1  1.000      -10.0894      0.214675      -4.30908       4.48181    
  2  2.000      -6.03463      0.238608      -5.21932       4.35381    
  3  3.000      -2.02512      0.249982      -6.29960       4.27534    
  4  4.000       1.98466      0.252405      -7.69610       4.23605    
  5  5.000       5.99457      0.246853      -9.71370       4.21959    
  6  6.000       10.0054      0.233825      -13.2309       4.17293    
  7  7.000       13.9718      0.213919      -22.3206       3.77220    
  8  8.000       15.8888      0.201591      -37.3957       2.60671    
  9  9.000       16.9391      0.193759      -54.3300       1.19846    
 10  10.00       17.9449      0.185804      -69.5512      0.284100    
 11  11.00       18.9519      0.177611      -81.2445     -0.277115E-01
 12  12.00       20.0547      0.168365      -91.2977      0.237343E-01
 13  13.00       20.5127      0.164434      -94.8823      0.115465    
 14  14.00       20.8796      0.161244      -97.5564      0.208581    
 15  15.00       21.5178      0.155610      -101.849      0.400899    
 16  16.00       22.0196      0.151102      -104.948      0.571185    
 17  17.00       22.5213      0.146528      -107.835      0.752277    
