# Pazy Wing (simplified : constant stiffness properties)                          
# Operating point sequence...
# i     t     RX pos[ 1]    RZ pos[ 1]    RX pos[ 2]    RZ pos[ 2]    RZ pos[ 3]    Theta[ 3]    
  1  1.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.254789E-11
  2  2.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.167451E-07
  3  3.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.685749E-07
  4  4.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.160305E-06
  5  5.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.300000E-06
  6  6.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.498991E-06
  7  7.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.771862E-06
  8  8.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.113703E-05
  9  9.000     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.161592E-05
 10  10.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.223406E-05
 11  11.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.302100E-05
 12  12.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.400909E-05
 13  13.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.523726E-05
 14  14.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.674618E-05
 15  15.00     -0.500000E-01  0.550000      0.500000E-01  0.550000      0.550000     -0.858376E-05
 16  16.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.108002E-04
 17  17.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.134548E-04
 18  18.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.166093E-04
 19  19.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.203316E-04
 20  20.00     -0.500000E-01  0.549999      0.500000E-01  0.549999      0.549999     -0.246997E-04
 21  21.00     -0.500000E-01  0.549998      0.500000E-01  0.549998      0.549998     -0.297967E-04
 22  22.00     -0.499999E-01  0.549998      0.500001E-01  0.549998      0.549998     -0.357108E-04
 23  23.00     -0.499999E-01  0.549997      0.500001E-01  0.549998      0.549998     -0.425429E-04
 24  24.00     -0.499999E-01  0.549997      0.500001E-01  0.549997      0.549997     -0.503993E-04
 25  25.00     -0.499999E-01  0.549996      0.500001E-01  0.549997      0.549996     -0.593989E-04
 26  26.00     -0.499998E-01  0.549996      0.500002E-01  0.549996      0.549996     -0.696713E-04
 27  27.00     -0.499998E-01  0.549995      0.500002E-01  0.549995      0.549995     -0.813546E-04
 28  28.00     -0.499997E-01  0.549994      0.500002E-01  0.549994      0.549994     -0.946004E-04
 29  29.00     -0.499997E-01  0.549993      0.500003E-01  0.549993      0.549993     -0.109576E-03
 30  30.00     -0.499996E-01  0.549992      0.500004E-01  0.549992      0.549992     -0.126467E-03
 31  31.00     -0.499996E-01  0.549991      0.500004E-01  0.549991      0.549991     -0.145464E-03
 32  32.00     -0.499995E-01  0.549989      0.500005E-01  0.549990      0.549990     -0.166789E-03
 33  33.00     -0.499994E-01  0.549988      0.500006E-01  0.549988      0.549988     -0.190675E-03
 34  34.00     -0.499993E-01  0.549986      0.500007E-01  0.549986      0.549986     -0.217377E-03
 35  35.00     -0.499992E-01  0.549984      0.500008E-01  0.549984      0.549984     -0.247178E-03
