Straight_GJ,,Straight_EI,,Swept_Wing_GJ,,Swept_Wing_EI,
X,Y,X,Y,X,Y,X,Y
0.04974271830757336,6.353378075208354,0.04898376118149099,7.2659404863053565,0.05064010157614872,10.003933211772903,0.050014797277300974,11.46019532406037
0.09968114254074024,5.502887855731316,0.09986252852055867,6.240766021632663,0.10045441961259773,8.648578984047578,0.10075036515861725,9.852485465255036
0.20058425378762573,3.9767444080611742,0.20069881335382683,4.442772723367288,0.20114273167285612,6.2486324451784725,0.20036945460099864,7.102941316862211
0.3005708885049022,2.7223744379421273,0.2996687319210684,3.052401454906489,0.2999789974128631,4.314561475527212,0.30012697018587287,4.916514716130941
0.39965536663834506,1.7980314847874421,0.39971741973670394,2.0504634889115856,0.3999178989775559,2.8660130406972844,0.40001813859798185,3.273787816590131
0.5007780503871159,1.1651089747873478,0.4998329339659566,1.3203753735119168,0.4999570401626745,1.8252393817602055,0.5000238665762918,2.0970892323554366
0.5980248021460826,0.7648951302637705,0.5990319716656006,0.862060735663345,0.599098798079218,1.1339105862585797,0.5991465312318017,1.3280890509694583
0.6992381788847627,0.5009117032143493,0.7002358017737639,0.5592416156717483,0.7002692149805726,0.6951665409693639,0.6993097786136384,0.7921794002806699
0.7994968925717667,0.35335898194731996,0.8004897421455097,0.39227104793362955,0.7985374562048325,0.4503718412586277,0.7985517761506077,0.5086253806718908
0.89878662326132,0.26398342704942124,0.8997842461503213,0.3223133395068203,0.8968486572664178,0.3803377597876807,0.8988295830986454,0.43874404528921396
1.001045356041585,0.2525083771682759,1.0010596759873602,0.31076191658153896,1.0010787692483938,0.3884333024658915,1.0010978625094273,0.46610468835024577
