CD_VS_CL_Corrected,,CD_VS_CL_uncorrected,
X,Y,X,Y
-0.01974765218104524,0.02230229792353014,-0.02385206348338409,0.0576203299933017
0.014844230585211893,0.02159528659111723,0.01074665427255217,0.057387393545035734
0.07940754309460996,0.019706642242970196,0.07760652331414986,0.05478791027025548
0.1924309324292921,0.019008926496521,0.19295039164490868,0.055038617691687275
0.30778505324456973,0.019970746244173165,0.3105942340027067,0.05481552362855931
0.4347005591021559,0.022830232526348887,0.43058247782045866,0.057200114827826595
0.5593400133965799,0.027822782387598582,0.562115019206321,0.0602971853512501
0.6655420830314548,0.03399833226251825,0.6706170628682352,0.06599893374161005
0.7648579005645703,0.042543436359411074,0.7652850874195182,0.0721731166185939
0.8849657567017076,0.053224338031249555,0.8853587686082597,0.08048364386969775
0.9843123316883794,0.06390277910680355,0.9800609681079385,0.08902820116741622
1.0975441882082757,0.07766434732683553,1.1024722157669546,0.09947233879676841
1.2176896367886485,0.09095266086148208,1.2156630623487756,0.11038945771191884
1.3217113447158697,0.10589832269353272,1.3196540128224408,0.12320178256530832
1.4211467745683706,0.12273973726299672,1.4190518502317064,0.13743578527196423
1.5251992399491479,0.13981873607370854,1.5184428526512925,0.15119571309447322
1.6200620617062866,0.15950405314887975,1.5878009104206257,0.16187059997539405
