Exp,
X,Y
-0.014416682167327888,-0.5536767060129352
-0.013411324528957796,-0.4816111336421268
-0.01238767102819699,-0.4147854962600209
-0.010526067029941188,-0.3479488813604804
-0.00825463571413329,-0.27848681020787147
-0.006825728861418023,-0.20772573282552143
-0.004126174365667229,-0.14087814040854651
-0.002688119581756604,-0.0727370305205477
-0.0004166882659486504,-0.0032749593679388678
0.0010213665179619191,0.06486615052005995
0.004540575648816991,0.1369646554431715
0.007244704110165451,0.20250226411297084
0.012444388201608203,0.2733127403237758
0.015968171298060913,0.3441012614997118
0.016996398764419385,0.4096169151346423
0.020520181860872122,0.4804054363105784
0.024053112888520217,0.5485739899921632
