No_Prop,,Prop_20deg,,Prop_28deg,
X,Y,X,Y,X,Y
21.249999999999996,1.0036795112781955,20.000000000000004,1.0450375939849623,21.249999999999996,1.0826268796992482
46.250000000000014,1.0186231203007519,43.75,1.0675046992481203,80.00000000000001,1.1613533834586467
78.75000000000001,1.0786513157894737,80.00000000000001,1.1312781954887219,97.5,1.3680545112781957
98.75,1.2778242481203008,100,1.3379699248120303,113.75,1.4243843984962405
118.75,1.3416588345864662,118.75,1.4018092105263158,140.00000000000003,1.4693984962406015
138.75000000000003,1.3716588345864662,141.25000000000003,1.431799812030075,238.75000000000006,1.4953430451127818
162.5,1.3715695488721804,237.50000000000006,1.4239191729323308,297.50000000000006,1.6567763157894735
243.75,1.3186325187969925,298.75,1.4951174812030075,318.75,1.8747415413533832
358.75,1.2392528195488721,320.00000000000006,1.6040601503759397,338.75000000000006,2.2205310150375936
377.5,1.1752725563909774,338.75000000000006,1.7844407894736842,360.00000000000006,2.182857142857143
441.25000000000006,1.1411983082706767,360.00000000000006,1.765563909774436,381.25000000000006,1.9647321428571427
478.75000000000006,1.080906954887218,380,1.6113533834586466,418.75,1.1826362781954887
520,0.9717293233082709,418.75,1.2202302631578947,457.50000000000006,0.9794830827067669
540,0.8814285714285715,460.00000000000006,1.0922556390977443,480.00000000000006,1.0395488721804511
560.0000000000001,0.6482706766917294,480.00000000000006,1.0470676691729321,540,0.8287969924812031
673.75,0.38092575187969935,540,0.8588721804511281,556.25,0.6294877819548872
756.2500000000001,0.20016447368421098,558.75,0.6219595864661658,688.75,0.3432753759398497
,,692.5,0.33950187969924794,756.2500000000001,0.19640507518797
,,757.5,0.1964003759398496,,
