No_prop,,Prop_20deg,,Prop_28deg,
X,Y,X,Y,X,Y
18.81107182236414,1.003787878787879,18.64948100832666,1.1325757575757578,19.790122048591257,1.2234848484848488
42.63145887989049,1.0189393939393943,49.9553248925896,1.181818181818182,57.32671761529977,1.306818181818182
78.9466179993156,1.075757575757576,77.50180601498042,1.2272727272727275,78.67096308125164,1.2954545454545456
97.51055092962241,1.2803030303030305,135.52241359644117,1.984848484848485,134.9093190372989,2.4734848484848486
115.00513288468116,1.3371212121212124,156.88566974639744,1.9583333333333335,157.63659176457165,2.3598484848484853
133.78293601003767,1.3712121212121213,235.37603132960723,1.4015151515151518,235.38078400060832,1.397727272727273
160.13174404015055,1.3712121212121213,255.48933500627354,1.3712121212121213,256.84859891258884,1.287878787878788
235.4805900916315,1.3181818181818186,275.5693699859321,1.3674242424242427,275.5313486179233,1.397727272727273
256.81057754458004,1.3181818181818186,298.23485799019045,1.3030303030303034,315.85300939127785,1.2613636363636367
275.6454127219498,1.306818181818182,334.66883388464316,1.2651515151515154,335.93779704193753,1.2537878787878791
305.7773468689403,1.291666666666667,362.31512109805703,1.2310606060606062,363.57457891334934,1.2272727272727275
358.54625299418274,1.234848484848485,377.4333675525645,1.181818181818182,379.9380251701456,1.1856060606060608
379.95703585415004,1.1704545454545456,436.4472833732557,1.147727272727273,418.8814113531805,1.147727272727273
438.956693661838,1.147727272727273,495.54674727196675,1.0454545454545456,438.96144633283905,1.143939393939394
491.77787916809245,1.0492424242424243,538.4015816889091,0.8901515151515156,479.1833010151705,1.0871212121212124
538.3920763469068,0.8977272727272729,556.2526139690506,0.6628787878787881,538.4015816889091,0.8901515151515156
556.2621193110527,0.6553030303030303,653.1785863655374,0.41287878787878807,557.5120717843427,0.6590909090909092
694.6741568761644,0.3409090909090913,756.3353104444698,0.1969696969696968,708.4996768183719,0.3219696969696968
756.3400631154708,0.19318181818181834,,,757.5900155887609,0.1969696969696968
