No_Prop,,Prop_In,,Prop_Out,,Prop_In_Out,
X,Y,X,Y,X,Y,X,Y
21.101992966002335,1.0000000000000002,20.940719651153408,1.137566137566138,21.052370407587283,1.0423280423280425,19.7280683798855,1.1719576719576723
42.185377472599036,1.0158730158730163,39.679438272638734,1.1534391534391537,78.39743947598576,1.1269841269841272,39.63291712412462,1.1931216931216935
78.45636626410365,1.076719576719577,59.55017150796752,1.203703703703704,99.26062387961565,1.330687830687831,59.50675176935435,1.240740740740741
98.14721772517785,1.2804232804232807,80.62115037496045,1.2301587301587305,115.60505405757456,1.3888888888888893,79.41780333339536,1.2566137566137567
115.66708225559339,1.3359788359788363,114.05124769720311,1.7142857142857146,140.1744232928289,1.4312169312169316,109.36191592698037,1.7142857142857146
149.62752067089696,1.367724867724868,140.70476438588983,1.978835978835979,158.92864896381894,1.4338624338624342,137.1815627384209,1.9841269841269844
238.78064968334598,1.3201058201058204,159.502409795493,1.9444444444444449,237.49666598435647,1.4153439153439158,159.53342389450242,1.9179894179894184
272.78760924716374,1.3121693121693125,236.32743445170172,1.412698412698413,274.97100181742616,1.44973544973545,236.23439215467346,1.4920634920634923
318.5489123355477,1.2777777777777781,256.3067170335634,1.3703703703703707,294.8572421022597,1.486772486772487,257.37670344938806,1.4576719576719581
360.80872364576936,1.2301587301587305,278.5810429421215,1.3703703703703707,318.17674314743476,1.5952380952380956,277.2598423243206,1.4973544973544977
379.6311803345801,1.1746031746031749,298.5882382130917,1.3042328042328044,339.05233319066843,1.7883597883597886,298.3401254210164,1.5158730158730163
434.76184273370666,1.1481481481481484,358.45165212105417,1.240740740740741,359.0130073131245,1.7619047619047623,318.16743891773194,1.6031746031746035
478.2156968557906,1.0820105820105823,378.44334034251966,1.1878306878306881,380.30728769298514,1.5978835978835981,340.26808587183734,1.7513227513227516
520.5437391838329,0.9761904761904765,432.4140754386944,1.1507936507936511,418.26854488050265,1.2169312169312172,359.0874411507471,1.6984126984126986
540.5788471439116,0.8862433862433863,458.23021145412696,1.1296296296296298,458.2674283729383,1.0978835978835981,418.21582091218664,1.261904761904762
560.7938368782447,0.642857142857143,479.37872556864346,1.0899470899470902,479.41904389735566,1.0555555555555558,445.32214344641073,1.1402116402116405
695.962584590955,0.3439153439153442,514.6603646017479,0.9947089947089949,498.26010904557205,0.9841269841269844,479.4128410775538,1.060846560846561
758.266808090958,0.1984126984126986,541.7511800864672,0.8862433862433863,517.0701600947791,0.9391534391534393,539.4344268904642,0.8624338624338626
,,560.7845326485419,0.6507936507936509,537.095963825155,0.8571428571428574,558.4553738129352,0.6375661375661379
,,694.7902516483994,0.3439153439153442,557.2892436901816,0.6322751322751325,697.1380189434115,0.3412698412698416
,,757.0944751484024,0.1984126984126986,693.6210201157446,0.3412698412698416,758.266808090958,0.1984126984126986
,,,,758.2730109107599,0.19312169312169325,,
