No_Prop,,Prop_CCW,,Prop_CW,
X,Y,X,Y,X,Y
16.676679889095794,1.0058661313013335,16.16171416416958,1.1395855645405053,18.061116729295946,0.9797073651293571
76.72989301400483,1.078715123199952,76.13656293963334,1.2327831658450847,33.42052922057326,0.9913799215610177
95.1790998548394,1.2880710801965827,94.14916840498697,1.5555099466749263,76.88662171289542,1.0380179043880304
111.66546632385376,1.340444587075853,132.27529022796566,1.9887603133081324,95.20148966896662,1.2822571917948795
135.9322932020793,1.3724918743632897,152.94855193877132,1.9539366890689196,111.55351725321762,1.3695140290843686
157.7437037976857,1.375462256370835,233.35783774101705,1.4076588090857864,133.10744498636083,1.4393441277114998
233.68249004586184,1.3233574272610915,254.0087096376955,1.378649073248277,154.99721993141256,1.4219659003130842
269.64799480556314,1.3176480246586486,274.57002227786506,1.3728948910175798,234.2907466629848,1.83208012568149
295.40001268756134,1.297374047966445,292.7766727989881,1.3119013056993272,253.69152060422644,1.7943458256057379
355.95699663033304,1.239410550826744,353.36724146295046,1.2452169759570713,269.8905511252748,1.5879975669735316
375.4585247351472,1.1755137529433277,374.1188675232015,1.1900447423118976,294.76190298493543,1.463069867414984
432.0301217632725,1.1524223913067815,420.4545878594964,1.1582026949872937,354.38224637005146,1.3149873684131967
487.5979087913605,1.0566536930132584,495.32239466525357,1.0508621944256826,373.92855410312006,1.239462793726374
513.5178502793129,0.9927755533082816,514.8015329559406,0.9927792849439694,431.8845879714456,1.1902126659178518
534.4150101313909,0.8998130450520376,555.860720429586,0.6644102709540671,451.25177719149644,1.1611991984446544
554.588232660022,0.6614995951175278,596.1250695017147,0.5424342952246259,505.6590255206564,1.0334503823060763
596.1586542229056,0.533713462622071,667.287362069416,0.39729232514488055,518.6301911716963,0.9986043682527364
676.3738949693819,0.37115594878703173,756.6227204370492,0.19987760234943797,536.959985670519,0.9056343967251166
756.6227204370492,0.19987760234943797,,,555.8383306154587,0.6702241593557703
,,,,597.3639725500879,0.5540658036637198
,,,,665.9700946715975,0.4060094261117475
,,,,757.8952082066133,0.2027882781859771
