alpha_9,,alpha_10,,alpha_11,,alpha_12,
X,Y,X,Y,X,Y,X,Y
18.366812553772487,1.005012531328321,20.61122956645345,1.050125313283208,18.312140857309746,1.0526315789473686,18.240204414595613,1.1152882205513786
59.661208129393515,1.037593984962406,36.673198495665105,1.0601503759398496,58.42390131471042,1.1152882205513786,57.22975636565582,1.155388471177945
79.19339105513497,1.025062656641604,58.45555334950464,1.0877192982456143,76.80510115702575,1.1052631578947367,76.76481674910583,1.1403508771929824
98.39466634439141,1.300751879699248,76.8425081072371,1.0726817042606518,97.13146241033122,1.4010025062656641,97.09693291782844,1.4310776942355892
135.91671486408327,1.619047619047619,98.33711719022011,1.3508771929824561,136.93821235062396,1.7293233082706767,117.60745146448211,1.5664160401002507
157.6501529368772,1.6892230576441103,117.70816248428189,1.4786967418546366,156.33515476406285,1.8345864661654134,136.8864181118698,1.7744360902255638
238.4779399704773,1.2882205513784462,136.99863896250383,1.6766917293233083,237.17732908620573,1.4210526315789473,157.40844648935771,1.899749373433584
278.70192127851203,1.2531328320802007,156.4128461221941,1.7669172932330828,256.7296542159072,1.3909774436090225,234.82644613830783,1.468671679197995
316.779319135957,1.0877192982456143,236.10403736091084,1.355889724310777,278.59833280100366,1.3433583959899749,257.83172051828774,1.4310776942355892
339.7759611428111,1.0576441102756893,257.9324315380875,1.3433583959899749,317.91591493084036,1.0977443609022557,279.75794825755554,1.3333333333333333
362.79562281133377,1.0075187969924815,277.5048988717489,1.2957393483709274,339.76732876968543,1.0651629072681705,317.9303022193832,1.0852130325814537
380.1092858437713,0.9273182957393484,317.9274247616746,1.0877192982456143,378.94103801409375,0.9448621553884713,358.1974453930464,1.0125313283208022
419.1592644067114,0.9147869674185465,339.77308368510256,1.0601503759398496,417.9593645422396,0.9598997493734336,378.9496703872195,0.93734335839599
436.35495167309784,0.93734335839599,378.93240564096806,0.9523809523809526,439.72157719211924,1.005012531328321,416.7882392548535,0.979949874686717
460.4881894748353,0.9172932330827068,419.12761237191717,0.9423558897243107,460.4076206589954,0.987468671679198,437.4023462790156,1.025062656641604
515.7440098524152,0.7894736842105263,438.6022461434873,0.979949874686717,538.7003674513494,0.7944862155388472,459.22786299848366,1.0150375939849625
537.6472179300144,0.7117794486215541,462.7383614029333,0.9573934837092732,559.6022202463679,0.5889724310776945,478.77443321276786,0.9899749373433584
558.5433158096158,0.511278195488722,526.0625731953305,0.8020050125313283,678.2196593665564,0.27318295739348386,538.6687154165552,0.8220551378446117
649.5227736390344,0.26817042606516295,538.7464067746864,0.7543859649122808,757.7324482273422,0.017543859649123084,559.5705682115737,0.6165413533834587
746.2686567164179,0.0025062656641605674,558.4972764862788,0.5513784461152882,,,677.0283918752103,0.31077694235588993
,,666.7501129402151,0.26315789473684226,,,756.5469356514133,0.05012531328320824
,,747.3822328496327,0.03258145363408538,,,,
