No_Porp,,In_Out_CCW_CCW,,In_Out_CW_CCW,,In_Out_CCW_CW,
X,Y,X,Y,X,Y,X,Y
19.993725490196084,1.0026666666666666,19.57960784313726,1.1786666666666665,18.779607843137256,1.0186666666666666,20.850196078431374,1.1386666666666665
42.30901960784314,1.0186666666666666,39.535686274509814,1.1973333333333331,46.970980392156875,1.0373333333333332,38.459607843137256,1.1546666666666665
78.63529411764706,1.0799999999999998,59.422745098039215,1.2453333333333332,78.63529411764706,1.0799999999999998,58.34039215686275,1.2053333333333334
99.32235294117648,1.2879999999999998,78.22117647058825,1.256,96.87529411764707,1.3279999999999998,78.32156862745099,1.2133333333333334
114.4972549019608,1.3386666666666667,112.28549019607847,1.7786666666666666,135.32862745098043,1.4853333333333332,112.42980392156865,1.7173333333333334
139.12156862745098,1.3733333333333333,135.32549019607848,1.9866666666666666,157.63764705882357,1.504,135.4509803921569,1.9333333333333333
157.93882352941182,1.376,157.80392156862746,1.9333333333333333,234.45647058823533,1.8559999999999999,156.7717647058824,1.8719999999999999
241.60000000000002,1.3199999999999998,235.30980392156863,1.4933333333333332,255.601568627451,1.8693333333333333,197.37411764705888,1.6159999999999999
272.2133333333333,1.3093333333333332,256.56156862745104,1.4613333333333332,273.7066666666667,1.6746666666666665,235.6172549019608,1.3626666666666667
316.98196078431374,1.2826666666666666,275.27843137254905,1.5066666666666666,294.8643137254902,1.6826666666666665,275.7301960784314,1.3146666666666667
359.441568627451,1.2373333333333332,298.77647058823527,1.52,314.8894117647059,1.672,297.04470588235296,1.256
378.403137254902,1.1786666666666665,316.2039215686275,1.6133333333333333,335.68941176470594,1.8319999999999999,315.82431372549024,1.2746666666666666
438.48470588235296,1.144,337.04156862745106,1.7573333333333332,358.2180392156863,1.7573333333333332,334.7168627450981,1.2453333333333332
477.44627450980397,1.0853333333333333,358.35607843137257,1.6986666666666665,418.12078431372555,1.2986666666666666,357.0509803921569,1.2533333333333334
477.44627450980397,1.0853333333333333,417.0321568627451,1.2613333333333332,456.163137254902,1.1306666666666665,378.18352941176477,1.2719999999999998
524.8125490196079,0.9546666666666666,457.4023529411765,1.1039999999999999,477.4525490196079,1.0826666666666667,436.2603921568628,1.5893333333333333
541.4650980392157,0.8773333333333333,476.32000000000005,1.0639999999999998,517.7474509803923,0.9573333333333331,456.28549019607846,1.5786666666666664
559.6580392156864,0.6453333333333331,535.5952941176471,0.8719999999999999,537.9607843137256,0.8666666666666665,477.9325490196079,1.3786666666666667
695.6737254901961,0.33866666666666645,558.4941176470588,0.6399999999999999,558.481568627451,0.6453333333333331,498.3466666666667,1.2026666666666666
759.5419607843138,0.19466666666666632,597.5811764705884,0.5279999999999998,597.5686274509806,0.5333333333333332,538.886274509804,0.9733333333333332
,,698.0329411764708,0.33599999999999985,696.8376470588236,0.34399999999999986,557.1356862745098,0.7173333333333332
,,758.3592156862746,0.19733333333333336,758.3529411764707,0.19999999999999973,598.644705882353,0.5759999999999998
,,,,,,703.9027450980393,0.34133333333333327
,,,,,,758.3403921568629,0.20533333333333315
