No_prop,,Prop_In,,Prop_out,
X,Y,X,Y,X,Y
22.792084970173136,1.0028735632183907,21.69722100974829,1.1379310344827585,22.846646297104627,1.0459770114942528
44.329259420922426,1.0172413793103448,40.71002473446822,1.1580459770114941,45.65691837625491,1.0660919540229885
81.11814345991561,1.0804597701149425,62.29084824676269,1.206896551724138,81.18361705223336,1.132183908045977
100.3601047577477,1.2816091954022988,82.5731121780882,1.2298850574712645,102.96086134148115,1.3362068965517242
121.95184053542846,1.339080459770115,141.76851447693875,1.9942528735632181,118.21984577331588,1.3908045977011494
157.44216499345262,1.3764367816091951,163.24021533537027,1.9568965517241377,146.1261457878655,1.4367816091954022
248.50865706387307,1.3189655172413792,241.0301178524662,1.410919540229885,163.85493961879823,1.4425287356321839
305.4415830059653,1.2959770114942528,259.9701731412774,1.3735632183908044,239.77884475483776,1.4224137931034482
363.5930452495271,1.235632183908046,280.2197002764441,1.3706896551724137,276.5277171540812,1.4540229885057472
378.71017023134004,1.1781609195402298,302.9208497017314,1.3045977011494254,301.9023715990106,1.5
440.6991124690819,1.1494252873563218,361.06867452349775,1.2413793103448276,319.7366506620107,1.589080459770115
476.0766768514477,1.0977011494252875,381.2600029099374,1.1925287356321839,342.77608031427326,1.7902298850574712
501.31674668994606,1.0373563218390804,435.6467335952276,1.1580459770114941,363.0037829186673,1.7701149425287355
522.7484359086278,0.9683908045977012,462.19263785828593,1.1293103448275863,420.5368834570056,1.221264367816092
540.3644696639022,0.8850574712643677,506.3727629855957,1.0316091954022988,479.83049614433287,1.0632183908045978
559.0499054270334,0.6465517241379313,542.9070274989086,0.8936781609195403,501.24763567583295,0.982758620689655
614.5533246035211,0.49425287356321856,560.3266404772297,0.6551724137931034,521.4389640622726,0.9339080459770115
710.5303360977739,0.31609195402298873,639.8115815509966,0.44827586206896575,539.0622726611377,0.8563218390804597
758.4751927833553,0.1925287356321841,719.3692710606723,0.298850574712644,560.2975411028663,0.632183908045977
,,757.2130074203404,0.19540229885057459,666.3174741743052,0.3879310344827589
,,,,754.6813618507201,0.19540229885057459
