ALPHA_1_B,,ALPHA_1_W,,ALPHA_5_B,,ALPHA_5_W,,ALPHA_10_B,,ALPHA_10_W,,ALPHA_15_B,,ALPHA_15_W,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.06325820850562813,0.009801697056948055,-0.035873702659035445,0.010502936010233943,-0.011227647397102913,0.05041976535390563,-0.06681819426568447,0.05006767885016372,-0.022455294794205383,0.10048940024020123,-0.021907604677273707,0.09978913930498126,-0.06024591286250258,0.1488074047703809,-0.0325875619574445,0.14915851325605686
5.99583755511132,0.012814970718139057,5.962428457978477,0.01981660205227309,6.015554399320866,0.05903414847879068,6.0432127502259245,0.059385256964466615,5.971739189966318,0.11505502329639031,5.969000739381659,0.11855632797249027,6.0180190048470585,0.16302583141315788,5.95147465563984,0.17667896361381588
7.976832708053784,0.015685453741701494,8.001752608374185,0.01953786690347742,7.9907988060355475,0.06925737132216303,8.011611030478957,0.07836174149808892,6.971821343483857,0.12209284129896447,6.995919708628859,0.1269956458635704,6.990716652518007,0.16936241046244604,6.957855245502095,0.17566378086136009
10.013418407864833,0.018908023269005814,9.984938521784377,0.019607306186159856,9.96193553687324,0.0847325511796854,9.959744776405513,0.08753359492056537,7.999014157789524,0.13018202872243456,8.014349481063615,0.1462890082505604,8.019004847057536,0.17605107601547615,8.011063340362025,0.1862048595761661
11.964016759317582,0.024928702482992227,11.975518251773147,0.04593750855765805,12.007284278555197,0.11246523145775547,12.061505600131447,0.11456797029954735,9.025385436919793,0.13932160754873463,9.020456225867406,0.1456239559657146,9.018539310458145,0.1837891549532703,9.03770846455076,0.19499430793485617
12.991483418681712,0.032667759438852334,12.987375742804725,0.037919716453002295,13.030643262042341,0.12545624542776554,13.053098556836547,0.13245983279803145,9.967412438042558,0.14915851325605683,9.998083084590741,0.14565818659802282,9.98603390201824,0.19677821288714845,9.966317057808693,0.2219876065550683
13.985814825971469,0.04705831726123641,14.034833091436868,0.05581353498761829,13.996220938193174,0.1408962166349137,13.996220938193174,0.1408962166349137,11.021442068077887,0.1586492005680329,11.049374264041411,0.15865017858609887,11.03047895500726,0.21852346656547442,12.058493304488325,0.2255622625861145
14.9771339376181,0.06530031022733049,15.9550346413999,0.10069869610631446,15.01930607662185,0.15423736107253372,14.997946162061512,0.14583325183182783,12.019881151244627,0.16778780137626703,11.991948955281103,0.16778682335820105,12.048908727442017,0.23781682895246442,13.048990880959556,0.24485464695503856
15.959416162335353,0.09509660862455452,17.078347071227107,0.12874923225581822,16.017745159788596,0.16337596188076786,15.971191499849388,0.15146956994589605,12.989566503272455,0.17797581556926517,13.018320234411375,0.17692640218450115,12.962729687542792,0.2480028871093307,13.963359531177263,0.21862615846239913
17.01947038365693,0.1325987113633963,17.99271572144481,0.1382350294774645,17.049319495029714,0.16586306182247798,,,14.04606073883397,0.18431532867275124,13.990470191965388,0.18396324216900933,14.007996275707209,0.23298346367054093,,
18.010789495303563,0.15084070432949037,19.03633923925843,0.12531638884433474,,,,,,,,,,,,
18.98869019908536,0.1505248044941886,,,,,,,,,,,,,,
