# [0_3/90]_s                                                                      
# Operating point sequence...
# i     t     RY pos[ 1]    Psi[ 1]       V[ 1]         beta[ 1]     
  1  1.000               NaN           NaN           NaN           NaN
  2  2.000     -0.267582E-03  0.299404E-02   1.00107       5.65264    
  3  3.000     -0.106842E-02  0.119600E-01   2.00213       5.64262    
  4  4.000     -0.239707E-02  0.268496E-01   3.00319       5.62594    
  5  5.000     -0.424445E-02  0.475824E-01   4.00424       5.60262    
  6  6.000     -0.659799E-02  0.740461E-01   5.00527       5.57270    
  7  7.000     -0.944176E-02  0.106097       6.00628       5.53625    
  8  8.000     -0.127566E-01  0.143558       7.00728       5.49333    
  9  9.000     -0.165204E-01  0.186224       8.00825       5.44406    
 10  10.00     -0.207082E-01  0.233859       9.00920       5.38855    
 11  11.00     -0.252927E-01  0.286197       10.0101       5.32699    
 12  12.00     -0.302442E-01  0.342946       11.0110       5.25955    
 13  13.00     -0.355316E-01  0.403789       12.0119       5.18649    
 14  14.00     -0.411219E-01  0.468386       13.0127       5.10806    
 15  15.00     -0.469814E-01  0.536378       14.0135       5.02459    
 16  16.00     -0.530756E-01  0.607391       15.0142       4.93642    
 17  17.00     -0.593700E-01  0.681037       16.0149       4.84393    
 18  18.00     -0.658302E-01  0.756924       17.0156       4.74753    
 19  19.00     -0.724224E-01  0.834654       18.0162       4.64767    
 20  20.00     -0.791138E-01  0.913834       19.0168       4.54481    
 21  21.00     -0.858730E-01  0.994073       20.0174       4.43940    
 22  22.00     -0.926702E-01   1.07500       21.0179       4.33193    
 23  23.00     -0.994775E-01   1.15624       22.0184       4.22288    
 24  24.00     -0.106269       1.23746       23.0188       4.11270    
 25  25.00     -0.113021       1.31834       24.0193       4.00187    
 26  26.00     -0.119713       1.39857       25.0196       3.89080    
 27  27.00     -0.126325       1.47788       26.0200       3.77992    
 28  28.00     -0.132841       1.55604       27.0203       3.66961    
 29  29.00     -0.139247       1.63281       28.0206       3.56021    
 30  30.00     -0.145530       1.70802       29.0209       3.45205    
 31  31.00     -0.151681       1.78149       30.0211       3.34542    
