# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Lift          Mc` mom[ 1]   Phi[ 2]       alpha[ 2]    
  1  1.000       6.01012     -0.136911      -13.4379       16.1241    
  2  2.000       8.64855      0.944306E-01   4.99572       9.55555    
  3  3.000       11.1613      0.300710       14.2407       5.86139    
  4  4.000       14.1161      0.546063       19.5559       3.67768    
  5  5.000       18.0123      0.874508       23.0961       2.21336    
  6  6.000       22.8060       1.28246       25.3955       1.26176    
  7  7.000       27.1975       1.65798       26.6509      0.742849    
  8  8.000       32.4011       2.10410       27.6272      0.339782    
