Alpha_m2_5,,Alpha_2_5,,Alpha_5_5,,Alpha_8_8,
X,Y,X,Y,X,Y,X,Y
17.701863354037265,-44.40528634361232,21.22153209109731,-12.334801762114537,19.461697722567283,-2.114537444933916,17.908902691511386,8.458149779735692
19.875776397515526,-39.118942731277514,22.877846790890263,-7.048458149779719,20.910973084886123,3.1718061674008737,19.875776397515526,16.91629955947137
21.842650103519667,-34.18502202643171,24.120082815734985,-3.524229074889874,22.360248447204967,8.458149779735692,21.532091097308488,25.726872246696033
22.877846790890263,-32.42290748898678,25.569358178053825,0.35242290748898597,23.809523809523807,12.334801762114537,,
25.776397515527947,-26.78414096916299,27.329192546583847,2.114537444933916,,,,
27.53623188405797,-24.317180616740075,,,,,,
30.745341614906827,-19.735682819383257,,,,,,
32.60869565217391,-18.678414096916285,,,,,,
