# FFWT Removed                                                                    
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.732178    
  2 0.1490E-01  0.732178    
  3 0.2980E-01  0.732177    
  4 0.4470E-01  0.732177    
  5 0.5960E-01  0.732177    
  6 0.7450E-01  0.732177    
  7 0.8940E-01  0.732177    
  8 0.1043      0.732177    
  9 0.1192      0.732178    
 10 0.1341      0.732179    
 11 0.1490      0.732179    
 12 0.1639      0.732179    
 13 0.1788      0.732179    
 14 0.1937      0.732179    
 15 0.2086      0.732180    
 16 0.2235      0.732180    
 17 0.2384      0.732180    
 18 0.2533      0.732180    
 19 0.2682      0.732180    
 20 0.2831      0.732180    
 21 0.2980      0.732180    
 22 0.3129      0.732181    
 23 0.3278      0.732181    
 24 0.3427      0.732181    
 25 0.3576      0.732181    
 26 0.3725      0.732182    
 27 0.3874      0.732182    
 28 0.4023      0.732183    
 29 0.4172      0.732183    
 30 0.4321      0.732184    
 31 0.4470      0.732185    
 32 0.4619      0.732186    
 33 0.4768      0.732187    
 34 0.4917      0.732188    
 35 0.5066      0.732253    
 36 0.5215      0.732930    
 37 0.5364      0.734993    
 38 0.5513      0.739123    
 39 0.5662      0.745613    
 40 0.5811      0.754265    
 41 0.5960      0.764570    
 42 0.6109      0.776027    
 43 0.6258      0.788391    
 44 0.6407      0.801707    
 45 0.6556      0.816165    
 46 0.6705      0.831884    
 47 0.6854      0.848778    
 48 0.7003      0.866562    
 49 0.7152      0.884872    
 50 0.7301      0.903404    
 51 0.7450      0.921995    
 52 0.7599      0.940592    
 53 0.7748      0.959169    
 54 0.7897      0.977639    
 55 0.8046      0.995823    
 56 0.8195       1.01348    
 57 0.8344       1.03036    
 58 0.8493       1.04628    
 59 0.8642       1.06113    
 60 0.8791       1.07484    
 61 0.8940       1.08733    
 62 0.9089       1.09853    
 63 0.9238       1.10830    
 64 0.9387       1.11652    
 65 0.9536       1.12308    
 66 0.9685       1.12793    
 67 0.9834       1.13103    
 68 0.9983       1.13240    
 69  1.013       1.13204    
 70  1.028       1.12994    
 71  1.043       1.12612    
 72  1.058       1.12059    
 73  1.073       1.11338    
 74  1.088       1.10457    
 75  1.103       1.09423    
 76  1.118       1.08248    
 77  1.132       1.06942    
 78  1.147       1.05516    
 79  1.162       1.03982    
 80  1.177       1.02353    
 81  1.192       1.00642    
 82  1.207      0.988655    
 83  1.222      0.970389    
 84  1.237      0.951788    
 85  1.252      0.933017    
 86  1.267      0.914237    
 87  1.281      0.895610    
 88  1.296      0.877295    
 89  1.311      0.859453    
 90  1.326      0.842243    
 91  1.341      0.825820    
 92  1.356      0.810327    
 93  1.371      0.795899    
 94  1.386      0.782663    
 95  1.401      0.770731    
 96  1.416      0.760208    
 97  1.430      0.751186    
 98  1.445      0.743747    
 99  1.460      0.737955    
100  1.475      0.733862    
101  1.490      0.731503    
102  1.505      0.730858    
103  1.520      0.731425    
104  1.535      0.732430    
105  1.550      0.733141    
106  1.564      0.733183    
107  1.579      0.732656    
108  1.594      0.731983    
109  1.609      0.731595    
110  1.624      0.731670    
111  1.639      0.732078    
112  1.654      0.732514    
113  1.669      0.732714    
114  1.684      0.732607    
115  1.699      0.732315    
116  1.713      0.732051    
117  1.728      0.731967    
118  1.743      0.732082    
119  1.758      0.732291    
120  1.773      0.732453    
121  1.788      0.732484    
122  1.803      0.732390    
123  1.818      0.732254    
124  1.833      0.732167    
125  1.848      0.732173    
126  1.862      0.732253    
127  1.877      0.732348    
128  1.892      0.732401    
129  1.907      0.732390    
130  1.922      0.732336    
131  1.937      0.732283    
132  1.952      0.732263    
133  1.967      0.732285    
134  1.982      0.732331    
135  1.997      0.732371    
136  2.011      0.732385    
137  2.026      0.732372    
138  2.041      0.732348    
139  2.056      0.732332    
140  2.071      0.732334    
141  2.086      0.732352    
142  2.101      0.732376    
143  2.116      0.732391    
144  2.131      0.732394    
145  2.146      0.732387    
146  2.160      0.732378    
147  2.175      0.732376    
148  2.190      0.732382    
149  2.205      0.732394    
150  2.220      0.732406    
151  2.235      0.732412    
152  2.250      0.732413    
153  2.265      0.732410    
154  2.280      0.732409    
155  2.295      0.732411    
156  2.309      0.732417    
157  2.324      0.732424    
158  2.339      0.732430    
159  2.354      0.732434    
160  2.369      0.732435    
161  2.384      0.732435    
162  2.399      0.732436    
163  2.414      0.732439    
164  2.429      0.732443    
165  2.444      0.732447    
166  2.458      0.732451    
167  2.473      0.732453    
168  2.488      0.732454    
169  2.503      0.732455    
170  2.518      0.732457    
171  2.533      0.732459    
172  2.548      0.732462    
173  2.563      0.732464    
174  2.578      0.732466    
175  2.593      0.732468    
176  2.607      0.732469    
177  2.622      0.732470    
178  2.637      0.732472    
179  2.652      0.732474    
180  2.667      0.732476    
181  2.682      0.732477    
182  2.697      0.732479    
183  2.712      0.732481    
184  2.727      0.732482    
185  2.742      0.732484    
186  2.756      0.732486    
187  2.771      0.732488    
188  2.786      0.732489    
189  2.801      0.732491    
190  2.816      0.732493    
191  2.831      0.732495    
192  2.846      0.732496    
193  2.861      0.732498    
194  2.876      0.732500    
195  2.891      0.732501    
196  2.905      0.732503    
197  2.920      0.732504    
198  2.935      0.732506    
199  2.950      0.732507    
200  2.965      0.732508    
