CL_WB_S_WB,,CL_WB_SW,,CL_W_SW,
X,Y,X,Y,X,Y
-0.05209844272909514,0.0026473904422386063,0.03128897289505339,0.0005706304748973601,-0.01032398532151646,-0.0014917740087987408
0.5715037668190952,0.05632254379170232,0.6133320572903429,0.05011618969575338,0.6137088887360296,0.035645862181375554
1.6113970577239982,0.12442017304339248,1.8198925133162085,0.11819467830258379,1.7367742630104068,0.10993549004536951
2.7345700981257135,0.19457542161756392,4.773766549928672,0.28943167238393763,4.732853421539803,0.2604958025163969
4.689679304476817,0.3183818977351235,8.851190458388542,0.516353587525085,8.768933537101448,0.4750193649492924
6.8111326775668655,0.4545723710772894,12.929852527312805,0.6957301408332762,12.930983021649864,0.6523191582901425
8.766349550045307,0.5742444679050267,16.925719344313286,0.8544443680147864,16.926796005586674,0.8131005751165638
10.847266626192178,0.667028743865274,18.96647695496266,0.889352119078737,18.925348494319117,0.8686850077908408
11.928934374504662,0.7309872086659271,20.924869978197606,0.8870600268567175,21.00852655914011,0.8746473186648206
12.88603241348578,0.7784225117909365,24.967087063017587,0.8659239697697443,24.967140896081254,0.8638567801248331
13.884958742938151,0.8196514608199974,28.92656272897745,0.8220583969111785,30.88474041995771,0.8280350632688036
14.841895282728261,0.8732883328797402,,,,
16.00743494423792,0.916565330908852,,,,
17.04792039884319,0.9619238740665199,,,,
17.963674644926087,0.9969608244832776,,,,
18.962439475187438,1.0443913424470719,,,,
20.962014792129608,1.0606991718680374,,,,
23.0036337317977,1.06253188861341,,,,
25.00342438099453,1.0705709594547312,,,,
26.96160207197481,1.076547625812356,,,,
28.87741314184713,1.109402542715041,,,,
30.918116919432833,1.1463774834239027,,,,
