# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.798657    
  2 0.7700E-02  0.798657    
  3 0.1540E-01  0.798657    
  4 0.2310E-01  0.798657    
  5 0.3080E-01  0.798657    
  6 0.3850E-01  0.798658    
  7 0.4620E-01  0.798657    
  8 0.5390E-01  0.798657    
  9 0.6160E-01  0.798655    
 10 0.6930E-01  0.798662    
 11 0.7700E-01  0.798654    
 12 0.8470E-01  0.798657    
 13 0.9240E-01  0.798660    
 14 0.1001      0.798656    
 15 0.1078      0.798657    
 16 0.1155      0.798657    
 17 0.1232      0.798657    
 18 0.1309      0.798657    
 19 0.1386      0.798658    
 20 0.1463      0.798657    
 21 0.1540      0.798657    
 22 0.1617      0.798658    
 23 0.1694      0.798657    
 24 0.1771      0.798657    
 25 0.1848      0.798657    
 26 0.1925      0.798657    
 27 0.2002      0.798657    
 28 0.2079      0.798659    
 29 0.2156      0.798657    
 30 0.2233      0.798657    
 31 0.2310      0.798658    
 32 0.2387      0.798658    
 33 0.2464      0.798659    
 34 0.2541      0.798657    
 35 0.2618      0.798718    
 36 0.2695      0.799802    
 37 0.2772      0.802373    
 38 0.2849      0.806463    
 39 0.2926      0.812028    
 40 0.3003      0.818955    
 41 0.3080      0.827111    
 42 0.3157      0.836321    
 43 0.3234      0.846429    
 44 0.3311      0.857272    
 45 0.3388      0.868668    
 46 0.3465      0.880452    
 47 0.3542      0.892472    
 48 0.3619      0.904573    
 49 0.3696      0.916633    
 50 0.3773      0.928517    
 51 0.3850      0.940131    
 52 0.3927      0.951384    
 53 0.4004      0.962207    
 54 0.4081      0.972525    
 55 0.4158      0.982320    
 56 0.4235      0.991526    
 57 0.4312       1.00014    
 58 0.4389       1.00814    
 59 0.4466       1.01550    
 60 0.4543       1.02223    
 61 0.4620       1.02830    
 62 0.4697       1.03370    
 63 0.4774       1.03842    
 64 0.4851       1.04244    
 65 0.4928       1.04573    
 66 0.5005       1.04827    
 67 0.5082       1.05002    
 68 0.5159       1.05093    
 69 0.5236       1.05099    
 70 0.5313       1.05016    
 71 0.5390       1.04839    
 72 0.5467       1.04567    
 73 0.5544       1.04198    
 74 0.5621       1.03731    
 75 0.5698       1.03167    
 76 0.5775       1.02508    
 77 0.5852       1.01758    
 78 0.5929       1.00921    
 79 0.6006       1.00005    
 80 0.6083      0.990154    
 81 0.6160      0.979642    
 82 0.6237      0.968597    
 83 0.6314      0.957141    
 84 0.6391      0.945391    
 85 0.6468      0.933473    
 86 0.6545      0.921513    
 87 0.6622      0.909645    
 88 0.6699      0.897983    
 89 0.6776      0.886660    
 90 0.6853      0.875788    
 91 0.6930      0.865475    
 92 0.7007      0.855822    
 93 0.7084      0.846929    
 94 0.7161      0.838859    
 95 0.7238      0.831698    
 96 0.7315      0.825492    
 97 0.7392      0.820297    
 98 0.7469      0.816142    
 99 0.7546      0.813055    
100 0.7623      0.811048    
101 0.7700      0.810129    
102 0.7777      0.810289    
103 0.7854      0.810985    
104 0.7931      0.811314    
105 0.8008      0.811134    
106 0.8085      0.810423    
107 0.8162      0.809231    
108 0.8239      0.807644    
109 0.8316      0.805751    
110 0.8393      0.803661    
111 0.8470      0.801480    
112 0.8547      0.799308    
113 0.8624      0.797245    
114 0.8701      0.795373    
115 0.8778      0.793759    
116 0.8855      0.792476    
117 0.8932      0.791546    
118 0.9009      0.790995    
119 0.9086      0.790821    
120 0.9163      0.791014    
121 0.9240      0.791536    
122 0.9317      0.792347    
123 0.9394      0.793395    
124 0.9471      0.794606    
125 0.9548      0.795930    
126 0.9625      0.797289    
127 0.9702      0.798632    
128 0.9779      0.799887    
129 0.9856      0.801015    
130 0.9933      0.801966    
131  1.001      0.802711    
132  1.009      0.803236    
133  1.016      0.803521    
134  1.024      0.803576    
135  1.032      0.803410    
136  1.040      0.803051    
137  1.047      0.802510    
138  1.055      0.801847    
139  1.063      0.801071    
140  1.070      0.800252    
141  1.078      0.799407    
142  1.086      0.798586    
143  1.093      0.797820    
144  1.101      0.797147    
145  1.109      0.796583    
146  1.117      0.796147    
147  1.124      0.795856    
148  1.132      0.795709    
149  1.140      0.795713    
150  1.147      0.795831    
151  1.155      0.796101    
152  1.163      0.796444    
153  1.170      0.796882    
154  1.178      0.797369    
155  1.186      0.797889    
156  1.194      0.798410    
157  1.201      0.798916    
158  1.209      0.799377    
159  1.217      0.799787    
160  1.224      0.800115    
161  1.232      0.800373    
162  1.240      0.800527    
163  1.247      0.800601    
164  1.255      0.800587    
165  1.263      0.800485    
166  1.271      0.800314    
167  1.278      0.800084    
168  1.286      0.799808    
169  1.294      0.799503    
170  1.301      0.799177    
171  1.309      0.798858    
172  1.317      0.798550    
173  1.324      0.798270    
174  1.332      0.798029    
175  1.340      0.797834    
176  1.347      0.797692    
177  1.355      0.797604    
178  1.363      0.797576    
179  1.371      0.797598    
180  1.378      0.797668    
181  1.386      0.797788    
182  1.394      0.797935    
183  1.401      0.798114    
184  1.409      0.798310    
185  1.417      0.798509    
186  1.424      0.798710    
187  1.432      0.798895    
188  1.440      0.799067    
189  1.448      0.799212    
190  1.455      0.799325    
191  1.463      0.799406    
192  1.471      0.799454    
193  1.478      0.799464    
194  1.486      0.799446    
195  1.494      0.799394    
196  1.501      0.799320    
197  1.509      0.799219    
198  1.517      0.799113    
199  1.525      0.798985    
200  1.532      0.798867    
