# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.798657    
  2 0.1490E-01  0.798657    
  3 0.2980E-01  0.798657    
  4 0.4470E-01  0.798658    
  5 0.5960E-01  0.798657    
  6 0.7450E-01  0.798658    
  7 0.8940E-01  0.798657    
  8 0.1043      0.798658    
  9 0.1192      0.798658    
 10 0.1341      0.798657    
 11 0.1490      0.798658    
 12 0.1639      0.798659    
 13 0.1788      0.798657    
 14 0.1937      0.798658    
 15 0.2086      0.798658    
 16 0.2235      0.798658    
 17 0.2384      0.798658    
 18 0.2533      0.798657    
 19 0.2682      0.798657    
 20 0.2831      0.798658    
 21 0.2980      0.798657    
 22 0.3129      0.798657    
 23 0.3278      0.798657    
 24 0.3427      0.798657    
 25 0.3576      0.798657    
 26 0.3725      0.798657    
 27 0.3874      0.798657    
 28 0.4023      0.798658    
 29 0.4172      0.798657    
 30 0.4321      0.798657    
 31 0.4470      0.798657    
 32 0.4619      0.798657    
 33 0.4768      0.798657    
 34 0.4917      0.798657    
 35 0.5066      0.798773    
 36 0.5215      0.799879    
 37 0.5364      0.802178    
 38 0.5513      0.805604    
 39 0.5662      0.810007    
 40 0.5811      0.815236    
 41 0.5960      0.821142    
 42 0.6109      0.827603    
 43 0.6258      0.834534    
 44 0.6407      0.841877    
 45 0.6556      0.849602    
 46 0.6705      0.857702    
 47 0.6854      0.866174    
 48 0.7003      0.875015    
 49 0.7152      0.884203    
 50 0.7301      0.893702    
 51 0.7450      0.903441    
 52 0.7599      0.913337    
 53 0.7748      0.923273    
 54 0.7897      0.933125    
 55 0.8046      0.942765    
 56 0.8195      0.952062    
 57 0.8344      0.960898    
 58 0.8493      0.969176    
 59 0.8642      0.976807    
 60 0.8791      0.983741    
 61 0.8940      0.989922    
 62 0.9089      0.995332    
 63 0.9238      0.999945    
 64 0.9387       1.00376    
 65 0.9536       1.00675    
 66 0.9685       1.00892    
 67 0.9834       1.01026    
 68 0.9983       1.01074    
 69  1.013       1.01034    
 70  1.028       1.00907    
 71  1.043       1.00691    
 72  1.058       1.00386    
 73  1.073      0.999937    
 74  1.088      0.995161    
 75  1.103      0.989580    
 76  1.118      0.983236    
 77  1.132      0.976197    
 78  1.147      0.968531    
 79  1.162      0.960315    
 80  1.177      0.951634    
 81  1.192      0.942562    
 82  1.207      0.933192    
 83  1.222      0.923600    
 84  1.237      0.913866    
 85  1.252      0.904074    
 86  1.267      0.894303    
 87  1.281      0.884628    
 88  1.296      0.875133    
 89  1.311      0.865893    
 90  1.326      0.856989    
 91  1.341      0.848501    
 92  1.356      0.840502    
 93  1.371      0.833070    
 94  1.386      0.826272    
 95  1.401      0.820175    
 96  1.416      0.814835    
 97  1.430      0.810305    
 98  1.445      0.806626    
 99  1.460      0.803830    
100  1.475      0.801946    
101  1.490      0.800982    
102  1.505      0.800879    
103  1.520      0.800784    
104  1.535      0.800413    
105  1.550      0.799807    
106  1.564      0.799084    
107  1.579      0.798366    
108  1.594      0.797763    
109  1.609      0.797355    
110  1.624      0.797177    
111  1.639      0.797232    
112  1.654      0.797484    
113  1.669      0.797873    
114  1.684      0.798326    
115  1.699      0.798768    
116  1.713      0.799135    
117  1.728      0.799380    
118  1.743      0.799482    
119  1.758      0.799442    
120  1.773      0.799282    
121  1.788      0.799043    
122  1.803      0.798764    
123  1.818      0.798497    
124  1.833      0.798277    
125  1.848      0.798136    
126  1.862      0.798078    
127  1.877      0.798113    
128  1.892      0.798219    
129  1.907      0.798371    
130  1.922      0.798548    
131  1.937      0.798714    
132  1.952      0.798851    
133  1.967      0.798940    
134  1.982      0.798974    
135  1.997      0.798955    
136  2.011      0.798892    
137  2.026      0.798801    
138  2.041      0.798696    
139  2.056      0.798599    
140  2.071      0.798521    
141  2.086      0.798472    
142  2.101      0.798459    
143  2.116      0.798476    
144  2.131      0.798523    
145  2.146      0.798584    
146  2.160      0.798653    
147  2.175      0.798718    
148  2.190      0.798770    
149  2.205      0.798803    
150  2.220      0.798815    
151  2.235      0.798808    
152  2.250      0.798784    
153  2.265      0.798751    
154  2.280      0.798712    
155  2.295      0.798678    
156  2.309      0.798653    
157  2.324      0.798637    
158  2.339      0.798635    
159  2.354      0.798646    
160  2.369      0.798666    
161  2.384      0.798692    
162  2.399      0.798720    
163  2.414      0.798746    
164  2.429      0.798767    
165  2.444      0.798780    
166  2.458      0.798787    
167  2.473      0.798785    
168  2.488      0.798777    
169  2.503      0.798766    
170  2.518      0.798754    
171  2.533      0.798743    
172  2.548      0.798736    
173  2.563      0.798733    
174  2.578      0.798735    
175  2.593      0.798741    
176  2.607      0.798752    
177  2.622      0.798764    
178  2.637      0.798776    
179  2.652      0.798788    
180  2.667      0.798798    
181  2.682      0.798805    
182  2.697      0.798809    
183  2.712      0.798809    
184  2.727      0.798809    
185  2.742      0.798807    
186  2.756      0.798804    
187  2.771      0.798803    
188  2.786      0.798802    
189  2.801      0.798803    
190  2.816      0.798806    
191  2.831      0.798811    
192  2.846      0.798817    
193  2.861      0.798824    
194  2.876      0.798830    
195  2.891      0.798837    
196  2.905      0.798843    
197  2.920      0.798847    
198  2.935      0.798851    
199  2.950      0.798853    
200  2.965      0.798855    
