# FFWT Flare 20                                                                   
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.530039    
  2 0.1490E-01  0.530040    
  3 0.2980E-01  0.530039    
  4 0.4470E-01  0.530036    
  5 0.5960E-01  0.530034    
  6 0.7450E-01  0.530032    
  7 0.8940E-01  0.530034    
  8 0.1043      0.530038    
  9 0.1192      0.530041    
 10 0.1341      0.530039    
 11 0.1490      0.530035    
 12 0.1639      0.530033    
 13 0.1788      0.530034    
 14 0.1937      0.530037    
 15 0.2086      0.530037    
 16 0.2235      0.530036    
 17 0.2384      0.530034    
 18 0.2533      0.530034    
 19 0.2682      0.530035    
 20 0.2831      0.530036    
 21 0.2980      0.530037    
 22 0.3129      0.530036    
 23 0.3278      0.530036    
 24 0.3427      0.530036    
 25 0.3576      0.530037    
 26 0.3725      0.530037    
 27 0.3874      0.530038    
 28 0.4023      0.530038    
 29 0.4172      0.530038    
 30 0.4321      0.530038    
 31 0.4470      0.530038    
 32 0.4619      0.530039    
 33 0.4768      0.530039    
 34 0.4917      0.530039    
 35 0.5066      0.530039    
 36 0.5215      0.530042    
 37 0.5364      0.530418    
 38 0.5513      0.531773    
 39 0.5662      0.534421    
 40 0.5811      0.538198    
 41 0.5960      0.542707    
 42 0.6109      0.547673    
 43 0.6258      0.553052    
 44 0.6407      0.558897    
 45 0.6556      0.565202    
 46 0.6705      0.571905    
 47 0.6854      0.578958    
 48 0.7003      0.586378    
 49 0.7152      0.594208    
 50 0.7301      0.602463    
 51 0.7450      0.611101    
 52 0.7599      0.620038    
 53 0.7748      0.629175    
 54 0.7897      0.638408    
 55 0.8046      0.647627    
 56 0.8195      0.656709    
 57 0.8344      0.665538    
 58 0.8493      0.674011    
 59 0.8642      0.682052    
 60 0.8791      0.689606    
 61 0.8940      0.696636    
 62 0.9089      0.703115    
 63 0.9238      0.709022    
 64 0.9387      0.714339    
 65 0.9536      0.719046    
 66 0.9685      0.723117    
 67 0.9834      0.726517    
 68 0.9983      0.729209    
 69  1.013      0.731151    
 70  1.028      0.732305    
 71  1.043      0.732643    
 72  1.058      0.732143    
 73  1.073      0.730802    
 74  1.088      0.728623    
 75  1.103      0.725628    
 76  1.118      0.721852    
 77  1.132      0.717339    
 78  1.147      0.712134    
 79  1.162      0.706294    
 80  1.177      0.699872    
 81  1.192      0.692925    
 82  1.207      0.685510    
 83  1.222      0.677681    
 84  1.237      0.669494    
 85  1.252      0.661008    
 86  1.267      0.652285    
 87  1.281      0.643388    
 88  1.296      0.634385    
 89  1.311      0.625347    
 90  1.326      0.616350    
 91  1.341      0.607471    
 92  1.356      0.598785    
 93  1.371      0.590367    
 94  1.386      0.582290    
 95  1.401      0.574624    
 96  1.416      0.567432    
 97  1.430      0.560773    
 98  1.445      0.554700    
 99  1.460      0.549261    
100  1.475      0.544498    
101  1.490      0.540448    
102  1.505      0.537141    
103  1.520      0.534606    
104  1.535      0.532861    
105  1.550      0.531923    
106  1.564      0.531773    
107  1.579      0.531946    
108  1.594      0.531851    
109  1.609      0.531261    
110  1.624      0.530402    
111  1.639      0.529646    
112  1.654      0.529186    
113  1.669      0.528991    
114  1.684      0.528969    
115  1.699      0.529087    
116  1.713      0.529358    
117  1.728      0.529756    
118  1.743      0.530193    
119  1.758      0.530560    
120  1.773      0.530789    
121  1.788      0.530862    
122  1.803      0.530800    
123  1.818      0.530629    
124  1.833      0.530382    
125  1.848      0.530101    
126  1.862      0.529836    
127  1.877      0.529632    
128  1.892      0.529518    
129  1.907      0.529501    
130  1.922      0.529571    
131  1.937      0.529706    
132  1.952      0.529877    
133  1.967      0.530054    
134  1.982      0.530208    
135  1.997      0.530317    
136  2.011      0.530368    
137  2.026      0.530362    
138  2.041      0.530308    
139  2.056      0.530223    
140  2.071      0.530124    
141  2.086      0.530032    
142  2.101      0.529961    
143  2.116      0.529922    
144  2.131      0.529919    
145  2.146      0.529948    
146  2.160      0.530002    
147  2.175      0.530069    
148  2.190      0.530136    
149  2.205      0.530193    
150  2.220      0.530232    
151  2.235      0.530248    
152  2.250      0.530241    
153  2.265      0.530216    
154  2.280      0.530178    
155  2.295      0.530135    
156  2.309      0.530096    
157  2.324      0.530065    
158  2.339      0.530049    
159  2.354      0.530046    
160  2.369      0.530057    
161  2.384      0.530078    
162  2.399      0.530105    
163  2.414      0.530133    
164  2.429      0.530158    
165  2.444      0.530175    
166  2.458      0.530184    
167  2.473      0.530184    
168  2.488      0.530177    
169  2.503      0.530165    
170  2.518      0.530152    
171  2.533      0.530139    
172  2.548      0.530131    
173  2.563      0.530126    
174  2.578      0.530128    
175  2.593      0.530135    
176  2.607      0.530145    
177  2.622      0.530157    
178  2.637      0.530169    
179  2.652      0.530180    
180  2.667      0.530188    
181  2.682      0.530192    
182  2.697      0.530193    
183  2.712      0.530191    
184  2.727      0.530187    
185  2.742      0.530182    
186  2.756      0.530177    
187  2.771      0.530174    
188  2.786      0.530173    
189  2.801      0.530174    
190  2.816      0.530177    
191  2.831      0.530181    
192  2.846      0.530187    
193  2.861      0.530192    
194  2.876      0.530197    
195  2.891      0.530201    
196  2.905      0.530204    
197  2.920      0.530206    
198  2.935      0.530206    
199  2.950      0.530205    
200  2.965      0.530204    
