Exp,
X,Y
-0.00450725434106608,-0.5501634488792668
-0.005122366680003793,-0.48046798344426356
-0.0013505077789712772,-0.41617952979185757
-0.00153529051398818,-0.3437446976652292
-0.0021504028529258923,-0.27404923223022615
-0.0001556458347514167,-0.1988511262117546
-0.0011871419108161474,-0.13736180725151848
-0.00004607116708643666,-0.07037582450786839
0.000640264705833532,0.0034376561646544124
-0.0008808309080253485,0.08542142251161755
-0.0006004193721371454,0.14692867187201697
-0.002496061122741866,0.20430595239478777
-0.0013619633124089814,0.2740253250300087
-0.0024108917219658743,0.342348118719172
0.0004759027043359787,0.41072470360882524
-0.001024274109332285,0.48450830028107583
-0.0020836619189844585,0.5569311788075954
