# Mowe_temp                                                                       
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
 72  72.00      1  1   12.7500       1.77351      0.150398      0.125214      0.595234E-10
 73  73.00      1  1   13.0000       1.77767      0.153659      0.126269      0.436880E-10
 74  74.00      1  1   13.2500       1.78179      0.157025      0.127316      0.132192E-10
 75  75.00      1  1   13.5000       1.78586      0.160496      0.128357     -0.936468E-11
 76  76.00      1  1   13.7500       1.78990      0.164074      0.129391     -0.140122E-10
 77  77.00      1  1   14.0000       1.79390      0.167759      0.130419     -0.612876E-11
 78  78.00      1  1   14.2500       1.79787      0.171551      0.131440      0.403457E-11
 79  79.00      1  1   14.5000       1.80181      0.175450      0.132456     -0.940833E-11
 80  80.00      1  1   14.7500       1.80572      0.179457      0.133465     -0.390582E-11
 81  81.00      1  1   15.0000       1.80961      0.183573      0.134469      0.247984E-11
 82  82.00      1  1   15.2500       1.81348      0.187797      0.135467      0.265374E-11
 83  83.00      1  1   15.5000       1.81732      0.192130      0.136460     -0.529506E-12
 84  84.00      1  1   15.7500       1.82115      0.196571      0.137448      0.712409E-12
 85  85.00      1  1   16.0000       1.82496      0.201123      0.138431     -0.171748E-12
