# Rectangular_wing_no_flap                                                        
# Operating point sequence...
# i     t     conv	stall	 alpha         CL            CD            CDi           CM           
 68  68.00      1  0   10.7500      0.800753      0.371529E-01  0.294892E-01  0.991349E-18
 69  69.00      1  0   11.0000      0.819798      0.384157E-01  0.309144E-01  0.854778E-19
 70  70.00      1  0   12.2500      0.915421      0.451494E-01  0.385814E-01  0.250947E-18
 71  71.00      1  0   12.5000      0.934598      0.465778E-01  0.402219E-01  0.588483E-17
 72  72.00      1  0   12.7500      0.953767      0.480315E-01  0.418964E-01  0.118733E-17
 73  73.00      1  0   13.0000      0.972901      0.495083E-01  0.436027E-01  0.138974E-17
 74  74.00      1  0   13.2500      0.991961      0.510053E-01  0.453374E-01 -0.932858E-18
 75  75.00      1  0   13.5000       1.01089      0.525178E-01  0.470954E-01  0.165942E-17
 76  76.00      1  0   13.7500       1.02959      0.540391E-01  0.488687E-01  0.291608E-17
 77  77.00      1  0   14.0000       1.04795      0.555600E-01  0.506463E-01  0.271377E-16
 78  78.00      1  0   14.2500       1.06583      0.570700E-01  0.524145E-01  0.100095E-09
 79  79.00      1  0   14.5000       1.08308      0.585586E-01  0.541579E-01  0.196818E-12
 80  80.00      1  0   14.7500       1.09955      0.600169E-01  0.558616E-01  0.808951E-11
 81  81.00      1  0   15.0000       1.11516      0.614414E-01  0.575142E-01 -0.329900E-10
 82  82.00      1  0   15.2500       1.12985      0.628332E-01  0.591085E-01 -0.227755E-09
 83  83.00      1  0   15.5000       1.14363      0.641989E-01  0.606420E-01  0.344572E-11
 84  84.00      1  0   15.7500       1.15655      0.655471E-01  0.621153E-01  0.135515E-10
 85  85.00      1  0   16.0000       1.16866      0.668889E-01  0.635312E-01 -0.251087E-10
