# FFWT Removed                                                                    
# Operating point sequence...
# i     t     Mc` mom[ 1]  
  1  0.000      0.356172    
  2 0.1490E-01  0.356172    
  3 0.2980E-01  0.356172    
  4 0.4470E-01  0.356172    
  5 0.5960E-01  0.356172    
  6 0.7450E-01  0.356172    
  7 0.8940E-01  0.356172    
  8 0.1043      0.356172    
  9 0.1192      0.356173    
 10 0.1341      0.356173    
 11 0.1490      0.356173    
 12 0.1639      0.356173    
 13 0.1788      0.356173    
 14 0.1937      0.356173    
 15 0.2086      0.356173    
 16 0.2235      0.356173    
 17 0.2384      0.356173    
 18 0.2533      0.356173    
 19 0.2682      0.356173    
 20 0.2831      0.356173    
 21 0.2980      0.356173    
 22 0.3129      0.356174    
 23 0.3278      0.356174    
 24 0.3427      0.356174    
 25 0.3576      0.356174    
 26 0.3725      0.356174    
 27 0.3874      0.356174    
 28 0.4023      0.356175    
 29 0.4172      0.356175    
 30 0.4321      0.356175    
 31 0.4470      0.356176    
 32 0.4619      0.356176    
 33 0.4768      0.356176    
 34 0.4917      0.356177    
 35 0.5066      0.356231    
 36 0.5215      0.356776    
 37 0.5364      0.358207    
 38 0.5513      0.360589    
 39 0.5662      0.363771    
 40 0.5811      0.367639    
 41 0.5960      0.372193    
 42 0.6109      0.377457    
 43 0.6258      0.383393    
 44 0.6407      0.389915    
 45 0.6556      0.396951    
 46 0.6705      0.404448    
 47 0.6854      0.412354    
 48 0.7003      0.420600    
 49 0.7152      0.429107    
 50 0.7301      0.437796    
 51 0.7450      0.446595    
 52 0.7599      0.455428    
 53 0.7748      0.464219    
 54 0.7897      0.472888    
 55 0.8046      0.481360    
 56 0.8195      0.489560    
 57 0.8344      0.497416    
 58 0.8493      0.504861    
 59 0.8642      0.511828    
 60 0.8791      0.518256    
 61 0.8940      0.524090    
 62 0.9089      0.529279    
 63 0.9238      0.533776    
 64 0.9387      0.537543    
 65 0.9536      0.540547    
 66 0.9685      0.542760    
 67 0.9834      0.544165    
 68 0.9983      0.544749    
 69  1.013      0.544506    
 70  1.028      0.543440    
 71  1.043      0.541558    
 72  1.058      0.538877    
 73  1.073      0.535422    
 74  1.088      0.531222    
 75  1.103      0.526314    
 76  1.118      0.520741    
 77  1.132      0.514552    
 78  1.147      0.507801    
 79  1.162      0.500547    
 80  1.177      0.492853    
 81  1.192      0.484788    
 82  1.207      0.476421    
 83  1.222      0.467825    
 84  1.237      0.459078    
 85  1.252      0.450254    
 86  1.267      0.441431    
 87  1.281      0.432688    
 88  1.296      0.424099    
 89  1.311      0.415741    
 90  1.326      0.407687    
 91  1.341      0.400007    
 92  1.356      0.392769    
 93  1.371      0.386036    
 94  1.386      0.379867    
 95  1.401      0.374317    
 96  1.416      0.369433    
 97  1.430      0.365260    
 98  1.445      0.361833    
 99  1.460      0.359182    
100  1.475      0.357331    
101  1.490      0.356296    
102  1.505      0.356052    
103  1.520      0.356191    
104  1.535      0.356291    
105  1.550      0.356241    
106  1.564      0.356166    
107  1.579      0.356163    
108  1.594      0.356204    
109  1.609      0.356225    
110  1.624      0.356213    
111  1.639      0.356198    
112  1.654      0.356199    
113  1.669      0.356210    
114  1.684      0.356215    
115  1.699      0.356213    
116  1.713      0.356211    
117  1.728      0.356213    
118  1.743      0.356216    
119  1.758      0.356219    
120  1.773      0.356219    
121  1.788      0.356220    
122  1.803      0.356222    
123  1.818      0.356224    
124  1.833      0.356225    
125  1.848      0.356227    
126  1.862      0.356229    
127  1.877      0.356230    
128  1.892      0.356232    
129  1.907      0.356234    
130  1.922      0.356236    
131  1.937      0.356238    
132  1.952      0.356240    
133  1.967      0.356242    
134  1.982      0.356244    
135  1.997      0.356246    
136  2.011      0.356248    
137  2.026      0.356250    
138  2.041      0.356252    
139  2.056      0.356255    
140  2.071      0.356257    
141  2.086      0.356259    
142  2.101      0.356261    
143  2.116      0.356263    
144  2.131      0.356264    
145  2.146      0.356266    
146  2.160      0.356268    
147  2.175      0.356270    
148  2.190      0.356272    
149  2.205      0.356273    
150  2.220      0.356275    
151  2.235      0.356277    
152  2.250      0.356278    
153  2.265      0.356280    
154  2.280      0.356282    
155  2.295      0.356283    
156  2.309      0.356285    
157  2.324      0.356287    
158  2.339      0.356288    
159  2.354      0.356290    
160  2.369      0.356291    
161  2.384      0.356293    
162  2.399      0.356294    
163  2.414      0.356295    
164  2.429      0.356296    
165  2.444      0.356298    
166  2.458      0.356299    
167  2.473      0.356300    
168  2.488      0.356301    
169  2.503      0.356302    
170  2.518      0.356303    
171  2.533      0.356304    
172  2.548      0.356305    
173  2.563      0.356306    
174  2.578      0.356307    
175  2.593      0.356308    
176  2.607      0.356309    
177  2.622      0.356310    
178  2.637      0.356310    
179  2.652      0.356311    
180  2.667      0.356312    
181  2.682      0.356313    
182  2.697      0.356314    
183  2.712      0.356315    
184  2.727      0.356316    
185  2.742      0.356317    
186  2.756      0.356317    
187  2.771      0.356318    
188  2.786      0.356319    
189  2.801      0.356320    
190  2.816      0.356321    
191  2.831      0.356322    
192  2.846      0.356323    
193  2.861      0.356323    
194  2.876      0.356324    
195  2.891      0.356325    
196  2.905      0.356326    
197  2.920      0.356327    
198  2.935      0.356327    
199  2.950      0.356328    
200  2.965      0.356329    
