ALPHA_M3,,ALPHA_0,,ALPHA_3,,ALPHA_6,,ALPHA_9,,ALPHA_12,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0362749722622695,-31.89088275742938,0.12855690719320734,-21.622275224725428,0.043649554535369006,-11.891015632785638,-0.0412577981224711,-2.1597560408458776,0.05122344984287608,8.64938844117276,-0.12257751616096613,17.301168638758412
3.928061282114312,-37.36641043868798,5.878737949866126,-27.13128749576461,4.114219656251455,-12.504899778762564,6.066092202209719,0.9734448600490282,4.034494442488226,11.280320495359348,6.0740647235860425,22.594922832636854
7.996239627417504,-44.46673797644121,10.123706956689277,-34.77534099138302,8.184391131898723,-14.199857823368774,10.137260243029028,1.9811715620162715,8.018164061202393,14.992326448175277,10.058930220506655,29.550150481341007
12.150720516619385,-57.51456646093132,18.157218121541092,-87.89306191327225,11.899187467196397,-19.67219649607685,18.282187394114956,11.02360530704172,12.00263093205419,20.866480198250002,18.03284678807045,54.811881714357824
15.858939521781595,-80.82462446102434,19.03698585541833,-101.96296763820698,16.0540669824671,-31.63895108193759,19.96658184789758,19.1013639655321,15.988492994146844,30.524392593527637,22.199685085405633,75.27734408737884
20.007640332985638,-109.5480244756406,20.18164061202389,-117.65926772391157,17.990991050844755,-58.70087764172817,22.09803543785752,39.60349993688419,19.97794269085884,49.91197007646977,26.103031551253345,101.15295946637255
21.06639117176133,-118.21574971597897,20.53342811775415,-123.61155218347432,18.945102546556207,-111.15050127228153,24.059275696432962,78.48708119348645,24.238458114365827,84.42979862739756,28.054505471142797,113.55023020655473
22.125739949640234,-125.26186410837317,21.063002850176396,-127.40487785432873,19.470093079187073,-127.37617677737398,26.10701781194151,111.96369845266648,26.192921729771392,104.93512360730017,29.20653481002146,117.85379724549387
,,,,,,27.26163822026748,123.29424583269662,27.967604988140877,117.87612030534757,30.093079187068568,122.16214779725877
,,,,,,,,28.500169416079252,122.19084887421353,,
,,,,,,,,28.854946617325623,124.34661865437126,,
